indic_cr,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
PRIS_ACT_CAP,NR,AL	5316 	5674 	6031 	5981 	5689 	4998 	4618 	4659 	4657 	4667 	4916 
PRIS_ACT_CAP,NR,AT	9163 	8852 	8619 	8665 	8692 	8862 	8805 	8770 	8540 	8708 	8248 
PRIS_ACT_CAP,NR,BA	4377 	2820 	2832 	2730 	2825 	2898 	: 	2757 	2743 	: 	: 
PRIS_ACT_CAP,NR,BE	: 	: 	: 	10994 	: 	11818 	11183 	11040 	10526 	10126 	9811 
PRIS_ACT_CAP,NR,BG	6651 	6988 	7345 	7408 	7870 	8834 	9493 	9885 	9379 	9006 	9408 
PRIS_ACT_CAP,NR,CH	6602 	6564 	6507 	6498 	6519 	6652 	6102 	5626 	5765 	5605 	5303 
PRIS_ACT_CAP,NR,CY	619 	592 	586 	547 	532 	553 	678 	622 	636 	578 	652 
PRIS_ACT_CAP,NR,CZ	21577 	22159 	22481 	20866 	18658 	16645 	22644 	23170 	21900 	21853 	20502 
PRIS_ACT_CAP,NR,DE	65762 	65841 	64291 	63020 	63228 	66221 	68533 	69543 	70827 	72295 	73793 
PRIS_ACT_CAP,NR,DK	3635 	3418 	3408 	3203 	3583 	4091 	3829 	3947 	3944 	3721 	3451 
PRIS_ACT_CAP,NR,EE	2584 	2723 	2864 	2823 	3034 	3023 	3286 	3400 	3393 	3555 	3656 
PRIS_ACT_CAP,NR,EL	10654 	10011 	9560 	9611 	11798 	12693 	12475 	12479 	12349 	11364 	11736 
PRIS_ACT_CAP,NR,ES	58883 	58814 	59589 	61614 	65017 	66765 	68597 	70472 	73929 	76079 	73558 
PRIS_ACT_CAP,NR,FI	2956 	3082 	3156 	3135 	3148 	3295 	3306 	3268 	3364 	3589 	3530 
PRIS_ACT_CAP,NR,FR	70059 	68974 	68432 	66678 	66270 	67075 	66572 	64787 	60544 	60978 	62252 
PRIS_ACT_CAP,NR,HR	3217 	3190 	3108 	3341 	3763 	4352 	4741 	5084 	5165 	4891 	4734 
PRIS_ACT_CAP,NR,HU	16303 	17343 	17658 	17449 	17890 	17841 	17179 	17210 	16328 	15432 	14743 
PRIS_ACT_CAP,NR,IE	3962 	3680 	3718 	3755 	3777 	4088 	4287 	4216 	4318 	3868 	3484 
PRIS_ACT_CAP,NR,IS	136 	137 	116 	139 	154 	147 	153 	150 	167 	148 	140 
PRIS_ACT_CAP,NR,IT	61131 	59038 	55978 	53410 	54745 	63848 	67102 	68325 	69263 	65598 	59284 
PRIS_ACT_CAP,NR,LI	63 	73 	72 	53 	53 	68 	60 	71 	76 	149 	78 
PRIS_ACT_CAP,NR,LT	6485 	6599 	6815 	7355 	8636 	9261 	9729 	9920 	9139 	8655 	8000 
PRIS_ACT_CAP,NR,LU	656 	684 	724 	691 	626 	656 	666 	637 	681 	702 	762 
PRIS_ACT_CAP,NR,LV	3522 	3765 	4243 	4409 	4745 	5136 	6117 	6561 	6780 	7055 	6548 
PRIS_ACT_CAP,NR,ME	1125 	1119 	1123 	1131 	1123 	1064 	1331 	1328 	1457 	1499 	1216 
PRIS_ACT_CAP,NR,MK	: 	3031 	3231 	: 	: 	: 	: 	: 	: 	: 	: 
PRIS_ACT_CAP,NR,MT	: 	591 	553 	569 	581 	615 	585 	584 	584 	494 	662 
PRIS_ACT_CAP,NR,NL	11251 	10874 	10601 	10850 	11934 	12721 	13473 	13969 	14368 	14364 	14610 
PRIS_ACT_CAP,NR,NO	: 	4164 	4192 	4056 	4103 	3869 	4052 	3866 	3564 	3340 	3477 
PRIS_ACT_CAP,NR,PL	72818 	74480 	72209 	72695 	79345 	80165 	85459 	82832 	82372 	85749 	84978 
PRIS_ACT_CAP,NR,PT	13021 	13587 	13917 	14373 	14198 	14535 	13875 	12955 	11839 	11287 	10807 
PRIS_ACT_CAP,NR,RO	20792 	23450 	27455 	28334 	30156 	33434 	31817 	30694 	28244 	26716 	26212 
PRIS_ACT_CAP,NR,RS	10871 	10807 	10672 	10064 	10288 	10031 	10226 	11070 	11211 	10975 	9701 
PRIS_ACT_CAP,NR,SE	6114 	5713 	5658 	5691 	5807 	5723 	6296 	6669 	6846 	7286 	7073 
PRIS_ACT_CAP,NR,SI	1396 	: 	1308 	1399 	1522 	1360 	1377 	1273 	1351 	1365 	1318 
PRIS_ACT_CAP,NR,SK	10294 	10028 	9995 	9913 	10020 	9753 	10850 	10525 	10031 	9316 	8166 
PRIS_ACT_CAP,NR,TR	264842 	233415 	200727 	178257 	159397 	145468 	136020 	128604 	120814 	116340 	: 
PRIS_ACT_CAP,NR,UKC-L	81904 	84441 	83604 	84444 	83678 	81884 	84886 	84428 	84004 	81836 	81674 
PRIS_ACT_CAP,NR,UKM	: 	7436 	7579 	7744 	7731 	7894 	8057 	8178 	7853 	7964 	7827 
PRIS_ACT_CAP,NR,UKN	1407 	1411 	1407 	1447 	1709 	1796 	1682 	1673 	1465 	1525 	1543 
PRIS_ACT_CAP,NR,XK	1567 	1709 	1648 	1478 	1854 	1776 	1737 	1441 	: 	: 	: 
PRIS_ACT_CAP,P_HTHAB,AL	185.21 	197.25 	208.97 	206.79 	196.44 	: 	: 	164.53 	: 	146.54 	155.08 
PRIS_ACT_CAP,P_HTHAB,AT	103.86 	100.90 	99.18 	101.03 	102.18 	104.85 	104.72 	104.71 	102.26 	104.48 	99.28 
PRIS_ACT_CAP,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	: 	71.74 	71.36 	: 	: 
PRIS_ACT_CAP,P_HTHAB,BE	: 	: 	: 	97.84 	: 	105.88 	100.79 	100.36 	97.10 	94.17 	91.98 
PRIS_ACT_CAP,P_HTHAB,BG	94.34 	98.40 	102.67 	102.86 	108.62 	121.27 	129.56 	134.14 	126.37 	120.61 	125.14 
PRIS_ACT_CAP,P_HTHAB,CH	77.82 	77.96 	78.14 	78.88 	80.09 	82.75 	76.71 	71.49 	74.04 	72.77 	69.84 
PRIS_ACT_CAP,P_HTHAB,CY	71.62 	69.26 	69.08 	64.58 	62.00 	63.87 	78.65 	74.07 	77.64 	72.53 	83.98 
PRIS_ACT_CAP,P_HTHAB,CZ	203.36 	209.47 	213.01 	198.00 	177.49 	158.28 	215.55 	220.95 	209.33 	209.61 	198.21 
PRIS_ACT_CAP,P_HTHAB,DE	79.43 	79.79 	78.24 	77.61 	78.28 	82.24 	85.32 	86.69 	86.58 	88.16 	89.75 
PRIS_ACT_CAP,P_HTHAB,DK	62.88 	59.46 	59.71 	56.59 	63.67 	73.02 	68.61 	70.98 	71.26 	67.51 	63.02 
PRIS_ACT_CAP,P_HTHAB,EE	195.89 	206.97 	217.64 	214.70 	230.58 	235.73 	247.96 	255.70 	254.48 	266.14 	273.15 
PRIS_ACT_CAP,P_HTHAB,EL	99.19 	92.97 	88.65 	88.52 	107.97 	115.35 	112.53 	112.19 	111.06 	102.43 	110.13 
PRIS_ACT_CAP,P_HTHAB,ES	126.20 	126.41 	128.31 	132.65 	139.78 	142.88 	146.52 	151.01 	159.03 	164.53 	161.07 
PRIS_ACT_CAP,P_HTHAB,FI	53.62 	56.00 	57.51 	57.29 	57.75 	60.72 	61.21 	60.80 	62.86 	67.38 	66.60 
PRIS_ACT_CAP,P_HTHAB,FR	104.69 	103.25 	102.50 	100.29 	100.50 	102.25 	101.98 	99.70 	93.64 	94.76 	97.26 
PRIS_ACT_CAP,P_HTHAB,HR	78.36 	76.79 	74.16 	79.07 	88.61 	102.11 	110.88 	118.51 	120.04 	113.49 	109.79 
PRIS_ACT_CAP,P_HTHAB,HU	166.73 	177.01 	179.62 	177.05 	181.12 	180.05 	172.97 	172.35 	163.05 	153.84 	146.76 
PRIS_ACT_CAP,P_HTHAB,IE	82.02 	76.92 	78.67 	81.12 	82.01 	89.04 	93.55 	92.24 	94.91 	85.55 	78.16 
PRIS_ACT_CAP,P_HTHAB,IS	39.03 	40.49 	34.88 	42.24 	47.29 	47.23 	47.88 	47.10 	52.58 	46.34 	44.38 
