iccs,sex,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,F,NR,AL	3 	3 	4 	4 	16 	22 	28 	32 	27 	9 	51 
ICCS0101,F,NR,AT	44 	39 	6 	37 	37 	37 	32 	31 	37 	36 	36 
ICCS0101,F,NR,BA	10 	: 	10 	20 	21 	20 	: 	: 	: 	: 	: 
ICCS0101,F,NR,BE	: 	: 	: 	: 	: 	: 	63 	49 	45 	40 	51 
ICCS0101,F,NR,BG	39 	34 	37 	37 	36 	34 	37 	43 	54 	53 	52 
ICCS0101,F,NR,CH	48 	48 	47 	43 	41 	33 	34 	31 	32 	29 	21 
ICCS0101,F,NR,CY	: 	: 	: 	: 	: 	2 	1 	1 	1 	0 	: 
ICCS0101,F,NR,CZ	119 	114 	119 	108 	107 	96 	89 	96 	: 	: 	: 
ICCS0101,F,NR,DE	212 	204 	211 	229 	229 	249 	: 	: 	: 	: 	: 
ICCS0101,F,NR,DK	9 	12 	9 	9 	13 	14 	16 	18 	15 	14 	14 
ICCS0101,F,NR,EE	15 	18 	21 	23 	: 	28 	: 	25 	32 	: 	: 
ICCS0101,F,NR,EL	49 	57 	67 	49 	60 	52 	46 	44 	21 	41 	44 
ICCS0101,F,NR,ES	61 	317 	300 	278 	259 	257 	234 	187 	195 	172 	150 
ICCS0101,F,NR,FI	45 	51 	54 	60 	53 	64 	60 	56 	58 	52 	54 
ICCS0101,F,NR,FR	338 	336 	334 	210 	309 	327 	254 	253 	246 	240 	245 
ICCS0101,F,NR,HR	18 	: 	: 	16 	15 	17 	13 	: 	16 	24 	15 
ICCS0101,F,NR,HU	155 	170 	: 	136 	155 	139 	: 	: 	: 	: 	: 
ICCS0101,F,NR,IE	: 	: 	: 	: 	: 	18 	: 	: 	: 	: 	: 
ICCS0101,F,NR,IS	0 	1 	: 	: 	: 	1 	: 	: 	: 	: 	: 
ICCS0101,F,NR,IT	286 	287 	267 	253 	289 	287 	150 	161 	168 	148 	138 
ICCS0101,F,NR,LI	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 
ICCS0101,F,NR,LT	89 	89 	89 	91 	100 	97 	83 	90 	82 	79 	82 
ICCS0101,F,NR,LU	: 	5 	1 	5 	4 	5 	4 	4 	: 	: 	: 
