"Country","Meal preparation"
"Albania","In all prisons"
"Armenia","In all prisons"
"Azerbaijan","In all prisons"
"Belgium","In all prisons"
"Bosnia and Herzegovina","In all prisons"
"Bulgaria","In all prisons"
"Croatia","In all prisons"
"Cyprus","In all prisons"
"Czechia","In all prisons"
"Denmark","In fewer than half of prisons"
"Estonia","In more than half of prisons"
"Finland","In more than half of prisons"
"France","In all prisons"
"Georgia","In all prisons"
"Germany","No national data"
"Iceland","No"
"Ireland","In all prisons"
"Italy","In all prisons"
"Latvia","In all prisons"
"Lithuania","In more than half of prisons"
"Malta","In all prisons"
"Monaco","In all prisons"
"Montenegro","In all prisons"
"Netherlands","In all prisons"
"Norway","In more than half of prisons"
"Poland","In all prisons"
"Portugal","In all prisons"
"Republic of Moldova","In all prisons"
"Romania","In all prisons"
"Russian Federation","In all prisons"
"Serbia","In all prisons"
"Slovakia","In all prisons"
"Slovenia","In fewer than half of prisons"
"Spain","In more than half of prisons"
"Sweden","In more than half of prisons"
"Switzerland","No national data"
"Tajikistan","No"
"Ukraine","In all prisons"
"United Kingdom of Great Britain and Northern Ireland","In all prisons"
