"Country","GHO Measures","2016","2015","2014"
"Albania"," Capacity","5484","5484","4537"
"Albania"," Total number of prisoners","5449","5803","5897"
"Albania"," Number of unsentenced/remand prisoners","2926","2964","2714"
"Albania"," Number of female prisoners","91","95","107"
"Albania"," Number of underage prisoners","71","112","123"
"Albania"," Number of prisoners over 55 years","721","735","580"
"Albania"," Number of ethnic/racial minority prisoners","87","89","99"
"Armenia"," Capacity","No national data","No national data","No national data"
"Armenia"," Total number of prisoners","No national data","No national data","No national data"
"Armenia"," Number of unsentenced/remand prisoners","No national data","No national data","No national data"
"Armenia"," Number of female prisoners","No national data","No national data","No national data"
"Armenia"," Number of underage prisoners","No national data","No national data","No national data"
"Armenia"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Armenia"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Azerbaijan"," Capacity","No national data","No national data","No national data"
"Azerbaijan"," Total number of prisoners","20860","20434","18861"
"Azerbaijan"," Number of unsentenced/remand prisoners","No national data","No national data","No national data"
"Azerbaijan"," Number of female prisoners","503","449","418"
"Azerbaijan"," Number of underage prisoners","24","No national data","No national data"
"Azerbaijan"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Azerbaijan"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Belgium"," Capacity","10173","10182","9592"
"Belgium"," Total number of prisoners","10792","11273","11423"
"Belgium"," Number of unsentenced/remand prisoners","3676","3561","3657"
"Belgium"," Number of female prisoners","513","489","481"
"Belgium"," Number of underage prisoners","13","12","17"
"Belgium"," Number of prisoners over 55 years","818","811","807"
"Belgium"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Bosnia and Herzegovina"," Capacity","3362","3407","3327"
"Bosnia and Herzegovina"," Total number of prisoners","2525","2628","2728"
"Bosnia and Herzegovina"," Number of unsentenced/remand prisoners","435","411","330"
"Bosnia and Herzegovina"," Number of female prisoners","67","71","67"
"Bosnia and Herzegovina"," Number of underage prisoners","4","13","14"
"Bosnia and Herzegovina"," Number of prisoners over 55 years","164","174","113"
"Bosnia and Herzegovina"," Number of ethnic/racial minority prisoners","10","10","11"
"Bulgaria"," Capacity","8127","No national data","No national data"
"Bulgaria"," Total number of prisoners","7302","7640","8530"
"Bulgaria"," Number of unsentenced/remand prisoners","689","669","774"
"Bulgaria"," Number of female prisoners","246","259","264"
"Bulgaria"," Number of underage prisoners","46","63","78"
"Bulgaria"," Number of prisoners over 55 years","898","923","901"
"Bulgaria"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Croatia"," Capacity","3900","3900","3771"
"Croatia"," Total number of prisoners","3388","3887","4346"
"Croatia"," Number of unsentenced/remand prisoners","864","1007","1094"
"Croatia"," Number of female prisoners","138","148","133"
"Croatia"," Number of underage prisoners","26","41","36"
"Croatia"," Number of prisoners over 55 years","Missing","Missing","Missing"
"Croatia"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Cyprus"," Capacity","No national data","No national data","No national data"
"Cyprus"," Total number of prisoners","No national data","No national data","No national data"
"Cyprus"," Number of unsentenced/remand prisoners","No national data","No national data","No national data"
"Cyprus"," Number of female prisoners","No national data","No national data","No national data"
"Cyprus"," Number of underage prisoners","No national data","No national data","No national data"
"Cyprus"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Cyprus"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Czechia"," Capacity","20670","20521","20378"
"Czechia"," Total number of prisoners","22525","19977","17680"
"Czechia"," Number of unsentenced/remand prisoners","1920","2054","2185"
"Czechia"," Number of female prisoners","1632","1316","1075"
"Czechia"," Number of underage prisoners","98","89","85"
"Czechia"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Czechia"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Denmark"," Capacity","2029","2156","2279"
"Denmark"," Total number of prisoners","1843","1906","2094"
"Denmark"," Number of unsentenced/remand prisoners","1078","1292","1234"
"Denmark"," Number of female prisoners","41","67","89"
"Denmark"," Number of underage prisoners","8","5","8"
"Denmark"," Number of prisoners over 55 years","250","225","232"
"Denmark"," Number of ethnic/racial minority prisoners","348","356","364"
"Estonia"," Capacity","2916","3364","3300"
"Estonia"," Total number of prisoners","2681","2921","3026"
"Estonia"," Number of unsentenced/remand prisoners","593","614","615"
"Estonia"," Number of female prisoners","146","154","147"
"Estonia"," Number of underage prisoners","23","33","30"
"Estonia"," Number of prisoners over 55 years","110","182","190"
"Estonia"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Finland"," Capacity","3079","3086","3089"
"Finland"," Total number of prisoners","3002","2974","3011"
"Finland"," Number of unsentenced/remand prisoners","581","581","592"
"Finland"," Number of female prisoners","199","219","222"
"Finland"," Number of underage prisoners","13","2","6"
"Finland"," Number of prisoners over 55 years","204","205","195"
"Finland"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"France"," Capacity","58282","57556","57516"
"France"," Total number of prisoners","66678","66270","67075"
"France"," Number of unsentenced/remand prisoners","18158","No national data","No national data"
"France"," Number of female prisoners","2650","Missing","Missing"
"France"," Number of underage prisoners","715","Missing","Missing"
"France"," Number of prisoners over 55 years","No national data","Missing","Missing"
"France"," Number of ethnic/racial minority prisoners","No national data","Missing","Missing"
"Georgia"," Capacity","21681","21398","21398"
"Georgia"," Total number of prisoners","9486","9716","10372"
"Georgia"," Number of unsentenced/remand prisoners","1107","1316","1507"
"Georgia"," Number of female prisoners","264","309","281"
"Georgia"," Number of underage prisoners","22","35","83"
"Georgia"," Number of prisoners over 55 years","203","196","196"
"Georgia"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Germany"," Capacity","No national data","No national data","No national data"
"Germany"," Total number of prisoners","No national data","No national data","No national data"
"Germany"," Number of unsentenced/remand prisoners","No national data","No national data","No national data"
"Germany"," Number of female prisoners","No national data","No national data","No national data"
"Germany"," Number of underage prisoners","No national data","No national data","No national data"
"Germany"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Germany"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Iceland"," Capacity","153","164","164"
"Iceland"," Total number of prisoners","140","141","147"
"Iceland"," Number of unsentenced/remand prisoners","25","12","12"
"Iceland"," Number of female prisoners","8","4","6"
"Iceland"," Number of underage prisoners","0","0","1"
"Iceland"," Number of prisoners over 55 years","7","6","5"
"Iceland"," Number of ethnic/racial minority prisoners","0","0","0"
"Ireland"," Capacity","4116","4126","4228"
"Ireland"," Total number of prisoners","3647","3554","3975"
"Ireland"," Number of unsentenced/remand prisoners","500","454","545"
"Ireland"," Number of female prisoners","130","116","147"
"Ireland"," Number of underage prisoners","10","13","12"
"Ireland"," Number of prisoners over 55 years","248","220","202"
"Ireland"," Number of ethnic/racial minority prisoners","364","No national data","No national data"
"Italy"," Capacity","50219","49592","49635"
"Italy"," Total number of prisoners","55251","52754","58092"
"Italy"," Number of unsentenced/remand prisoners","18958","17828","18518"
"Italy"," Number of female prisoners","2285","2107","2304"
"Italy"," Number of underage prisoners","462","1068","992"
"Italy"," Number of prisoners over 55 years","8492","8009","7995"
"Italy"," Number of ethnic/racial minority prisoners","18621","17340","17462"
"Latvia"," Capacity","5852","5852","7970"
"Latvia"," Total number of prisoners","4409","4745","5153"
"Latvia"," Number of unsentenced/remand prisoners","1389","1469","1526"
"Latvia"," Number of female prisoners","355","343","347"
"Latvia"," Number of underage prisoners","42","38","46"
"Latvia"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Latvia"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Lithuania"," Capacity","8011","9399","9399"
"Lithuania"," Total number of prisoners","6815","7355","8609"
"Lithuania"," Number of unsentenced/remand prisoners","602","721","874"
"Lithuania"," Number of female prisoners","322","296","380"
"Lithuania"," Number of underage prisoners","58","85","84"
"Lithuania"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Lithuania"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Malta"," Capacity","726","726","726"
"Malta"," Total number of prisoners","576","528","630"
"Malta"," Number of unsentenced/remand prisoners","132","139","147"
"Malta"," Number of female prisoners","41","37","43"
"Malta"," Number of underage prisoners","2","No national data","No national data"
"Malta"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Malta"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
