"","Obligation for prisoner coverage of expenses","Obligation for prisoner coverage of expenses","Obligation for prisoner coverage of expenses"
"Country"," General health services"," Prescription medication"," Other expenses"
"Albania","None","None","None"
"Armenia","None","None","None"
"Azerbaijan","None","None","None"
"Belgium","None","None","Some"
"Bosnia and Herzegovina","None","None","None"
"Bulgaria","None","None","None"
"Croatia","Some","Some","None"
"Cyprus","Missing","Some","Missing"
"Czechia","None","Some","None"
"Denmark","None","None","Some"
"Estonia","None","None","Some"
"Finland","All","All","All"
"France","None","None","All"
"Georgia","None","None","None"
"Germany","No national data","No national data","No national data"
"Iceland","None","None","All"
"Ireland","None","None","None"
"Italy","None","None","Some"
"Latvia","Some","None","All"
"Lithuania","None","None","All"
"Malta","None","Some","Missing"
"Monaco","None","None","None"
"Montenegro","None","None","None"
"Netherlands","None","None","Some"
"Norway","All","All","All"
"Poland","None","None","None"
"Portugal","None","None","Some"
"Republic of Moldova","Some","None","Some"
"Romania","None","Some","Some"
"Russian Federation","None","None","None"
"Serbia","None","None","None"
"Slovakia","None","Some","Some"
"Slovenia","Some","Some","Some"
"Spain","Some","Some","All"
"Sweden","None","None","None"
"Switzerland","None","None","Some"
"Tajikistan","None","None","None"
"Ukraine","None","None","None"
"United Kingdom of Great Britain and Northern Ireland","None","None","None"
