"Country","Prison health care authority","Prison health care budget administration","Prison health care funding source"
"Albania","Ministry of Justice and Ministry of Health and Health care department of the prison systems","Ministry of Justice and Ministry of Health and Health care department of the prisons systems","State budget and Ministry of Justice and Ministry of Health or public health authorities and Compulsory health insurance of prisoners and Other"
"Armenia","Ministry of Justice and Ministry of Health","Ministry of Justice and Ministry of Health","State budget"
"Azerbaijan","Health care department of the prison systems","Other","State budget"
"Belgium","Ministry of Justice","Ministry of Justice","Ministry of Justice"
"Bosnia and Herzegovina","Ministry of Justice","Ministry of Justice and Other","Ministry of Justice and Other"
"Bulgaria","Ministry of Justice","Ministry of Justice","Ministry of Justice"
"Croatia","Ministry of Justice","Ministry of Justice","State budget AND Compulsory Health Insurance"
"Cyprus","Ministry of Health or public health authorities","Ministry of Health","Missing"
"Czechia","Ministry of health and Health care department of prison systems and Other","Ministry of Justice","Compuslory health insurance"
"Denmark","Ministry of Health and Health care department of prison systems","Health care department of the prison systems","Ministry of Justice and Ministry of Health"
"Estonia","Ministry of Justice","Ministry of Justice","Ministry of Justice"
"Finland","Ministry of Health or public health authorities","Ministry fo Health or public health authorities","State budget and Ministry of Health"
"France","Ministry of Health or public health authorities","Ministry of Health or public health authorities","State budget and Ministry of Health"
"Georgia","Health care department of the prison systems","Health care department of the prison systems","State budget"
"Germany","Ministry of Justice","No national data","No national data"
"Iceland","Ministry of health and Health care department of prison systems and Other","Ministry of Health and Health care department of the prison systems","State budget"
"Ireland","Ministry of Justice","Health care department of the prison systems","Ministry of Justice"
"Italy","Ministry of Health or public health authorities","Ministry of Health or public health authorities","Ministry of Health or public health authorities"
"Latvia","Ministry of Justice","Ministry of Justice","State budget"
"Lithuania","Ministry of Justice and Ministry of Health","Ministry of Justice and Ministry of Health","State budget"
"Malta","Ministry of health and other","Health care department of the prison systems and Other","Ministry of Health or public health authorities"
"Monaco","Ministry of Justice","Ministry of Justice","State budget"
"Montenegro","Ministry of Justice","Ministry of Justice","State budget"
"Netherlands","Ministry of Justice","Ministry of Justice","Ministry of Justice"
"Norway","Ministry of Health or public health authorities","Ministry of Health or public health authorities","State budget"
"Poland","Ministry of Justice","Ministry of Justice","Ministry of Justice"
"Portugal","Ministry of Justice","Ministry of Justice","Ministry of Justice"
"Republic of Moldova","MoJ and Health care department of the prison systems","Ministry of Justice","State budget and Ministry of Interior"
"Romania","Health care department of the prison systems","Health care department of the prison systems and Other","Ministry of Justice and Ministry of Interior and Compulsory health insurance"
"Russian Federation","Health care department of the prison systems","Health care department of the prison systems","State budget"
"Serbia","Ministry of Justice","Ministry of Justice","Ministry of Justice"
"Slovakia","Ministry of Justice and Ministry of Health","Ministry of Justice and Other","Ministry of Justice and Compulsory health insurance"
"Slovenia","Ministry of Health or public health authorities","Ministry of Health or public health authorities","State budget"
"Spain","Ministry of Interior and Ministry of Health","Ministry of Interior and Ministry of Health","Ministry of Interior and Ministry of Health"
"Sweden","Ministry of Justice","Ministry of Justice","Ministry of Justice and Ministry of Health"
"Switzerland","Ministry of Justice and Ministry of Interior and Ministry of Heath","Ministry of Justice and Ministry of Interior and Ministry of Health","Ministry of Justice and Ministry of Interior and Ministry of Health and Compulsory health insurance"
"Tajikistan","Ministry of Justice","Ministry of Justice","Ministry of Justice and Ministry of Interior"
"Ukraine","Ministry of Justice","Ministry of Justice","Ministry of Justice and Other"
"United Kingdom of Great Britain and Northern Ireland","Ministry of Health or public health authorities","Ministry of Health or public health authorities","State budget and Ministry of Health"
