"Country","Smoke-free cells"
"Albania","In all prisons"
"Armenia","No national data"
"Azerbaijan","In all prisons"
"Belgium","No"
"Bosnia and Herzegovina","In all prisons"
"Bulgaria","In all prisons"
"Croatia","In all prisons"
"Cyprus","No national data"
"Czechia","In all prisons"
"Denmark","In all prisons"
"Estonia","In all prisons"
"Finland","In all prisons"
"France","In all prisons"
"Georgia","In all prisons"
"Germany","No national data"
"Iceland","In all prisons"
"Ireland","In all prisons"
"Italy","In fewer than half of prisons"
"Latvia","No"
"Lithuania","In all prisons"
"Malta","No"
"Monaco","In all prisons"
"Montenegro","No"
"Netherlands","No"
"Norway","No national data"
"Poland","In all prisons"
"Portugal","In all prisons"
"Republic of Moldova","No"
"Romania","In more than half of prisons"
"Russian Federation","In more than half of prisons"
"Serbia","No national data"
"Slovakia","In all prisons"
"Slovenia","In all prisons"
"Spain","In all prisons"
"Sweden","In all prisons"
"Switzerland","No national data"
"Tajikistan","No national data"
"Ukraine","No"
"United Kingdom of Great Britain and Northern Ireland","In all prisons"
