"Country","Year","Number of cases of ‘ever’ injecting drug use identified","Prevalence of ‘ever’ injecting drug use identified","Reference group"
"Albania"," NA","No national data","No national data","Not applicable"
"Armenia"," NA","No national data","No national data","Not applicable"
"Azerbaijan"," 2016","2798","13.4","Sentenced prisoners only"
"Belgium"," NA","No national data","No national data","Not applicable"
"Bosnia and Herzegovina"," NA","No national data","No national data","Not applicable"
"Bulgaria"," 2016","576","Missing","Missing"
"Croatia"," 2015","28",".72","Sentenced prisoners only"
"Cyprus"," Missing","Missing","Missing","Missing"
"Czechia"," NA","No national data","No national data","Not applicable"
"Denmark"," NA","No national data","No national data","Not applicable"
"Estonia"," NA","No national data","No national data","Not applicable"
"Finland"," NA","No national data","No national data","Not applicable"
"France"," NA","No national data","No national data","Not applicable"
"Georgia"," NA","No national data","No national data","Not applicable"
"Germany"," NA","No national data","No national data","Not applicable"
"Iceland"," NA","No national data","No national data","Not applicable"
"Ireland"," NA","No national data","No national data","Not applicable"
"Italy"," 2014","16712","32.04","All prisoners (including those in remand prison/jail)"
"Latvia"," NA","No national data","No national data","Not applicable"
"Lithuania"," NA","No national data","No national data","Not applicable"
"Malta"," NA","No national data","No national data","Not applicable"
"Monaco"," Missing","Missing","Missing","Missing"
"Montenegro"," NA","No national data","No national data","Not applicable"
"Netherlands"," NA","No national data","No national data","Not applicable"
"Norway"," NA","No national data","No national data","Not applicable"
"Poland"," NA","No national data","No national data","Not applicable"
"Portugal"," NA","No national data","No national data","Not applicable"
"Republic of Moldova"," NA","No national data","No national data","Not applicable"
"Romania"," 2015","21","Missing","All prisoners (including those in remand prison/jail)"
"Russian Federation"," Missing","Missing","Missing","Missing"
"Serbia"," NA","No national data","No national data","Not applicable"
"Slovakia"," NA","No national data","No national data","Not applicable"
"Slovenia"," NA","No national data","No national data","Not applicable"
"Spain"," 2015","28617","44","All prisoners (including those in remand prison/jail)"
"Sweden"," Missing","Missing","Missing","Missing"
"Sweden"," NA","No national data","No national data","Not applicable"
"Switzerland"," NA","No national data","No national data","Not applicable"
"Tajikistan"," NA","No national data","No national data","Not applicable"
"Ukraine"," NA","No national data","No national data","Not applicable"
"United Kingdom of Great Britain and Northern Ireland"," 2016","13958","35","Another population"
