"Country","Year","Number of cases of raised blood pressure","Percentage of cases of raised blood pressure","Reference group"
"Albania"," NA","No national data","No national data","Not applicable"
"Armenia"," NA","No national data","No national data","Not applicable"
"Azerbaijan"," 2016","278","1.33","All prisoners (including those in remand prison/jail)"
"Belgium"," NA","No national data","No national data","Not applicable"
"Bosnia and Herzegovina"," 2016","105","5.4","All prisoners (including those in remand prison/jail)"
"Bulgaria"," 2016","587","8.03","Sentenced prisoners only"
"Croatia"," NA","No national data","No national data","Not applicable"
"Cyprus"," Missing","Missing","Missing","Missing"
"Czechia"," NA","No national data","No national data","Not applicable"
"Denmark"," 2013","No national data","2.1","All prisoners (including those in remand prison/jail)"
"Estonia"," NA","No national data","No national data","Not applicable"
"Finland"," 2015","112","3.8","Sentenced prisoners only"
"France"," NA","No national data","No national data","Not applicable"
"Georgia"," NA","No national data","No national data","Not applicable"
"Germany"," NA","No national data","No national data","Not applicable"
"Iceland"," NA","No national data","No national data","Not applicable"
"Ireland"," NA","No national data","No national data","Not applicable"
"Italy"," NA","No national data","No national data","Not applicable"
"Latvia"," NA","No national data","No national data","Not applicable"
"Lithuania"," NA","No national data","No national data","Not applicable"
"Malta"," 2017","20","Missing","All prisoners (including those in remand prison/jail)"
"Monaco"," NA","No national data","No national data","Not applicable"
"Montenegro"," 2016","72","5.3","Missing"
"Netherlands"," NA","No national data","No national data","Not applicable"
"Norway"," NA","No national data","No national data","Not applicable"
"Poland"," NA","No national data","No national data","Not applicable"
"Portugal"," NA","No national data","No national data","Not applicable"
"Republic of Moldova"," 2016","705","9","All prisoners (including those in remand prison/jail)"
"Romania"," NA","No national data","No national data","Not applicable"
"Russian Federation"," 2016","18134","2.8","All prisoners (including those in remand prison/jail)"
"Serbia"," NA","No national data","No national data","Not applicable"
"Slovakia"," NA","No national data","No national data","Not applicable"
"Slovenia"," NA","No national data","No national data","Not applicable"
"Spain"," NA","No national data","No national data","Not applicable"
"Sweden"," NA","No national data","No national data","Not applicable"
"Switzerland"," NA","No national data","No national data","Not applicable"
"Tajikistan"," NA","No national data","No national data","Not applicable"
"Ukraine"," NA","No national data","No national data","Not applicable"
"United Kingdom of Great Britain and Northern Ireland"," NA","No national data","No national data","Not applicable"
