"Country","Availability of non-mandatory urine/sputum screening"
"Albania","Not available"
"Armenia","Not applicable"
"Azerbaijan","Not applicable"
"Belgium","Available"
"Bosnia and Herzegovina","Available"
"Bulgaria","Available"
"Croatia","Available"
"Cyprus","Missing"
"Czechia","Not applicable"
"Denmark","Not applicable"
"Estonia","Available"
"Finland","Available"
"France","Other"
"Georgia","Available"
"Germany","Not applicable"
"Iceland","Available"
"Ireland","Available"
"Italy","Available"
"Latvia","Missing"
"Lithuania","Other"
"Malta","Not applicable"
"Monaco","Not available"
"Montenegro","Other"
"Netherlands","Other"
"Norway","Not applicable"
"Poland","Available"
"Portugal","Available"
"Republic of Moldova","No national data"
"Romania","Routinely offered to all prisoners (opt-out)"
"Russian Federation","Other"
"Serbia","Available"
"Slovakia","Available"
"Slovenia","Available"
"Spain","Available"
"Sweden","Not applicable"
"Switzerland","Not applicable"
"Tajikistan","Not applicable"
"Ukraine","Not applicable"
"United Kingdom of Great Britain and Northern Ireland","Available"
