Region,Subregion,Country,Source,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Africa,Eastern Africa,Burundi,UN-CTS/WPB-ICPR,"7,913","7,526","7,167","8,277","8,343","9,927","10,816","9,823","10,432","6,369","7,784","7,565","9,228","10,127","10,093","10,987"
Africa,Eastern Africa,Comoros,WPB-ICPR,,,,,,,150,,,,206,120,145,,191,225
Africa,Eastern Africa,Djibouti,UN-CTS/WPB-ICPR,,,,,,,525,,750,,550,,600,600,624,662
Africa,Eastern Africa,Ethiopia,WPB-ICPR,,"74,413",,"72,211",,"85,664",,"104,467",,"111,050",,"113,727",,,,
Africa,Eastern Africa,Kenya,UN-CTS/WPB-ICPR,,"55,000","50,000",,,"49,092","48,122","48,153","51,068","44,522","53,430","53,537","54,225","48,500","51,021","52,198"
Africa,Eastern Africa,Madagascar,UN-CTS/WPB-ICPR,"19,000","19,971","20,294","17,495",,"16,555",,"18,355","18,578","19,150","19,804","20,353","20,595","22,000","20,975","24,928"
Africa,Eastern Africa,Malawi,WPB-ICPR,"8,566","9,220","9,656","11,000","10,830","11,000",,"11,672",,"12,236",,"12,156","12,129","14,018","14,795","13,929"
Africa,Eastern Africa,Mauritius,UN-CTS/NSO,"2,494","2,358","2,473","2,269","2,271","2,161","2,279","2,400","2,615","2,690","2,514","2,310","2,128","2,232","2,261","2,447"
Africa,Eastern Africa,Mayotte,WPB-ICPR,163,,107,,155,,216,,211,,188,,177,,293,
Africa,Eastern Africa,Mozambique,UN-CTS/WPB-ICPR,,"15,359","17,769","18,013","17,858","27,889","35,235","15,249","16,304",,"15,663","15,430","15,976",,"18,185",
Africa,Eastern Africa,Reunion,WPB-ICPR,"1,071",,"1,040",,"1,307",,,,"1,078",,"1,128",,"1,046",,"1,060",
Africa,Eastern Africa,Rwanda,WPB-ICPR,,,,,,,,"55,000",,"55,618",,"53,600","54,279",,"61,000",
Africa,Eastern Africa,Seychelles,UN-CTS/WPB-ICPR,172,147,162,174,172,297,,432,,628,,765,,,423,382
Africa,Eastern Africa,South Sudan,WPB-ICPR,,,,,,,,,,,,,"6,504",,,
Africa,Eastern Africa,Uganda,UN-CTS,"17,952","18,549","19,048","19,225","19,247","28,775","31,173","31,230","32,021","35,212","39,568","42,330","45,527","51,354","48,894",
Africa,Eastern Africa,United Republic of Tanzania,WPB-ICPR,,"43,244","46,416","43,911",,"41,613","40,111",,"38,353","33,338","36,552","34,196","34,404",,,
Africa,Eastern Africa,Zambia,WPB-ICPR,"13,200",,"14,347",,,"15,000","15,544","16,666",,"17,000","17,021","17,160","18,560","19,000","25,000",
Africa,Eastern Africa,Zimbabwe,UN-CTS/WPB-ICPR,"21,125","19,888","17,997","18,081","16,429","14,029",,"13,361",,"16,900","16,902","17,484","18,857",,"19,521",
Africa,Middle Africa,Angola,WPB-ICPR,"6,008",,"8,300",,,,"16,183",,"19,898",,"21,634","21,319","23,674","22,907",,
Africa,Middle Africa,Cameroon,UN-CTS/WPB-ICPR,"20,000",,"22,734",,"23,123",,"23,368","23,766","22,812","22,891","25,314","25,908","28,120","29,341","31,836",
Africa,Middle Africa,Central African Republic,WPB-ICPR,,,"1,000",,"1,233",,"2,145",,845,,,,764,,,
Africa,Middle Africa,Chad,WPB-ICPR,,,"3,416",,,,,"4,775","4,831",,,,"8,000",,,"8,700"
Africa,Middle Africa,Congo,WPB-ICPR,,,"1,550",,"1,642",,"2,410",,"1,400",,"1,500","1,240",,,,
Africa,Middle Africa,Democratic Republic of the Congo,WPB-ICPR,,"30,000",,,,,,"22,000",,,,,"20,550",,,
Africa,Middle Africa,Equatorial Guinea,WPB-ICPR,,,,,,,,,,,,,500,,,
Africa,Middle Africa,Gabon,WPB-ICPR,,,,,,,,,,,"3,500",,"3,373",,,
Africa,Middle Africa,Sao Tome and Principe,WPB-ICPR,,,155,160,,,240,305,,217,,201,178,178,251,253
Africa,Northern Africa,Algeria,UN-CTS/WPB-ICPR,"39,806","44,231","43,797","54,117","55,119","55,598",,"49,000","50,000","50,100","60,220","61,000","62,150",,"60,000","63,000"
Africa,Northern Africa,Egypt,WPB-ICPR,,,,"64,378",,,,,"66,000",,,,,"106,000",,
Africa,Northern Africa,Libya,WPB-ICPR,,"9,763",,,"13,217",,,"13,242",,"3,186","5,328","6,187",,,,
Africa,Northern Africa,Morocco,UN-CTS,"54,542","59,069","50,933","53,580","54,660","59,212","57,563","64,877",,"70,675","72,000","74,941","74,039","78,716","83,102","83,757"
Africa,Northern Africa,Sudan,WPB-ICPR,"12,000",,,,,,"19,144",,"20,000",,"19,101","19,101",,,"21,000",
Africa,Northern Africa,Tunisia,UN-CTS/WPB-ICPR,,"26,000",,,,,"26,319",,"21,000",,"25,000","23,829","25,630","23,663","22,248",
Africa,Southern Africa,Botswana,UN-CTS/WPB-ICPR,"5,890","10,911","9,778","9,788","8,912","8,865","8,706","7,005","4,712","4,241","3,826","4,131","3,960","4,376","4,343",
Africa,Southern Africa,Eswatini,UN-CTS/WPB-ICPR,"3,169","2,719","2,667","2,648",,"2,546","2,713",,"3,764","3,411","3,280","3,616","3,610",,,"3,453"
Africa,Southern Africa,Lesotho,UN-CTS/WPB-ICPR,,"3,173","2,712","2,508","2,852","2,594","2,555","2,498",,"2,564",,"2,073",,,,
Africa,Southern Africa,Namibia,WPB-ICPR,,"4,442",,,"4,064",,,"4,251",,,"7,525",,"7,235","7,400",,
Africa,Southern Africa,South Africa,WPB-ICPR,"180,952","186,739","157,402",,,"164,297",,"163,312","159,265","158,165","156,370","154,648","159,771",,"158,111","164,129"
Africa,Western Africa,Benin,WPB-ICPR/UN-CTS,,,,"5,834",,"6,083",,"6,908",,"7,247",,"7,067",,,"7,801",
Africa,Western Africa,Burkina Faso,UN-CTS/WPB-ICPR,,"2,799","3,315","3,108","4,207","4,801",,"5,198","5,039","5,035",,"6,827","7,544","7,670",,
Africa,Western Africa,Cabo Verde,UN-CTS/WPB-ICPR,,,,,,,"1,300",,,"1,348","1,434",,,"1,569","1,542","1,567"
Africa,Western Africa,C�te d'Ivoire,WPB-ICPR,,,,"13,385",,"11,143",,,,"7,086",,"10,850","12,147","11,192","16,127",
Africa,Western Africa,Gambia,WPB-ICPR,,,,,,,780,,"1,000",,"1,000","1,121",,,,
Africa,Western Africa,Ghana,WPB-ICPR,"11,397","11,581","12,371","12,847",,"14,128",,"13,507",,"13,487","14,021","14,599","14,337","14,368","14,846","14,467"
Africa,Western Africa,Guinea,WPB-ICPR/UN-CTS,,,,,"2,539","2,780",,"3,800",,"2,600",,"3,110",,"2,900","3,200",
Africa,Western Africa,Guinea-Bissau,WPB-ICPR/UN-CTS,,,,,,,,,,,,526,,,596,
Africa,Western Africa,Liberia,WPB-ICPR,,,,,"1,022",,"1,420",,"1,601",,"1,827","1,930","2,104",,"2,211","2,426"
Africa,Western Africa,Mali,WPB-ICPR,,"4,407",,,,,"6,700",,"5,817",,"4,963","5,209",,,,
Africa,Western Africa,Mauritania,WPB-ICPR,"1,185",,815,,,,,"1,700",,"1,602",,"1,768",,"1,920",,
Africa,Western Africa,Niger,WPB-ICPR,,,"7,432","7,381","6,562","6,664","6,869","5,337","7,645","6,899","8,063",,"8,525",,,"9,570"
Africa,Western Africa,Nigeria,UN-CTS/WPB-ICPR,,"38,999","39,006","40,953","39,438","41,130","42,685","47,072","48,658","51,560","55,173","56,620",,"63,142","75,772","71,522"
Africa,Western Africa,Senegal,UN-CTS/WPB-ICPR,,,"25,372","31,319","30,340","31,904","32,608","29,609",,"8,428",,"8,630",,"9,310","9,321","12,500"
Africa,Western Africa,Sierra Leone,WPB-ICPR/UN-CTS,,"1,400","1,740","1,610","1,978","1,886",,"2,237",,"2,762","3,281","3,603","3,488","3,341","4,519","4,519"
Africa,Western Africa,Togo,WPB-ICPR/UN-CTS,"3,200",,,,,,,"4,116",,"4,214",,"4,493","4,422","4,523","4,859","5,109"
Americas,Caribbean,Anguilla,WPB-ICPR,,41,,45,,44,,58,,76,,60,,46,55,55
Americas,Caribbean,Antigua and Barbuda,WPB-ICPR,,191,194,193,,229,,295,,361,371,331,,371,305,305
Americas,Caribbean,Aruba,WPB-ICPR,,,231,,277,,,,246,,240,170,,,,
Americas,Caribbean,Bahamas,UN-CTS/WPB-ICPR,,"2,829","2,897","2,416","1,325","1,321","1,250","1,278","1,360","1,433",,"1,396",,"1,746",,"1,778"
Americas,Caribbean,Barbados,UN-CTS/WPB-ICPR,992,,997,,"1,010","1,046",898,910,"1,060","1,045",908,864,954,913,885,850
Americas,Caribbean,British Virgin Islands,WPB-ICPR,,,105,,,117,,117,,138,,134,,,,
Americas,Caribbean,Cayman Islands,WPB-ICPR,,188,,210,,203,,212,,185,,186,189,218,253,253
Americas,Caribbean,Cuba,WPB-ICPR,"55,000",,,"60,000",,,,,,"57,337",,,,,,
Americas,Caribbean,Cura�ao,WPB-ICPR,,,,578,,,,541,,440,,348,,377,,
Americas,Caribbean,Dominica,UN-CTS/WPB-ICPR,243,290,282,301,254,235,,295,,275,266,187,181,203,190,
Americas,Caribbean,Dominican Republic,UN-CTS/WPB-ICPR,"16,789","13,008","12,657","13,752",,"16,718",,"20,743","21,875","24,044","24,744","25,203","24,602",,"26,286","26,078"
Americas,Caribbean,Grenada,UN-CTS/WPB-ICPR,,182,237,334,367,386,409,438,457,489,480,513,502,457,442,460
Americas,Caribbean,Guadeloupe,WPB-ICPR,695,,743,,790,,,,784,,871,,907,,956,
Americas,Caribbean,Haiti,WPB-ICPR,"3,519",,"3,670","4,663","6,370","8,204",,"5,331",,"8,722","9,936","10,461","11,046","10,538","8,882","8,882"
Americas,Caribbean,Jamaica,UN-CTS/WPB-ICPR,"4,744",,"4,825","4,913","4,709",,"5,163",,"4,457","4,364","4,112","4,034","3,854","3,799","3,857",
Americas,Caribbean,Martinique,WPB-ICPR,643,,631,,763,,920,,885,,918,,940,,870,
Americas,Caribbean,Puerto Rico,UN-CTS/NSO,,"14,380","14,263","13,788",,"12,130","11,258","10,894","11,470","12,244","12,246","12,327","11,364","10,500","9,493","9,100"
Americas,Caribbean,Saint Kitts and Nevis,UN-CTS/WPB-ICPR,195,,,237,232,271,254,282,346,366,330,334,,220,220,
