"country_name","year","unsentenced","sentenced"
"Cyprus",2003,56,299
"Cyprus",2004,83,463
"Cyprus",2005,84,452
"Cyprus",2006,99,500
"Cyprus",2007,69,577
"Cyprus",2008,118,528
"Cyprus",2009,105,565
"Cyprus",2010,139,498
"Cyprus",2011,135,499
"Cyprus",2012,156,538
"Cyprus",2013,117,475
"Cyprus",2014,101,436
"Cyprus",2015,110,486
"Cyprus",2016,135,533
"Cyprus",2017,151,474
"Cyprus",2018,"",648
"Turkey",2003,"",63796
"Turkey",2004,"",58016
"Turkey",2005,"",55966
"Turkey",2006,"",70524
"Turkey",2007,"",90732
"Turkey",2008,"",103435
"Turkey",2009,"",115920
"Turkey",2010,"",120194
"Turkey",2011,"",128253
"Turkey",2012,"",136638
"Turkey",2013,"",144098
"Turkey",2014,"",158690
"Turkey",2015,"",177262
"Turkey",2016,"",200727
"Turkey",2017,"",232340
"Turkey",2018,"",264842
"Bulgaria",2003,1861,7421
"Bulgaria",2004,1988,7943
"Bulgaria",2005,2080,8642
"Bulgaria",2006,1354,9954
"Bulgaria",2007,952,10009
"Bulgaria",2008,794,9388
"Bulgaria",2009,890,9203
"Bulgaria",2010,1059,9389
"Bulgaria",2011,1099,8786
"Bulgaria",2012,927,8566
"Bulgaria",2013,774,8060
"Bulgaria",2014,669,7201
"Bulgaria",2015,689,6719
"Bulgaria",2016,587,6758
"Bulgaria",2017,639,6349
"Bulgaria",2018,"",6651
"Hungary",2003,"",16507
"Hungary",2004,4079,12464
"Hungary",2005,3970,11750
"Hungary",2006,3786,11035
"Hungary",2007,3824,10507
"Hungary",2008,4353,10349
"Hungary",2009,4493,10867
"Hungary",2010,4803,11525
"Hungary",2011,4875,12335
"Hungary",2012,4888,12291
"Hungary",2013,5053,12788
"Hungary",2014,4400,13490
"Hungary",2015,4021,13428
"Hungary",2016,3622,14036
"Hungary",2017,3401,13942
"Hungary",2018,"",16303
"Poland",2003,18240,61041
"Poland",2004,15055,65313
"Poland",2005,13793,69162
"Poland",2006,14834,73813
"Poland",2007,11903,75873
