country_name,country_code,year,total_mortality
Cyprus,CYP,2003,
Cyprus,CYP,2004,
Cyprus,CYP,2005,
Cyprus,CYP,2006,
Cyprus,CYP,2007,
Cyprus,CYP,2008,
Cyprus,CYP,2009,
Cyprus,CYP,2010,
Cyprus,CYP,2011,
Cyprus,CYP,2012,
Cyprus,CYP,2013,
Cyprus,CYP,2014,
Cyprus,CYP,2015,
Cyprus,CYP,2016,
Cyprus,CYP,2017,
Cyprus,CYP,2018,
Turkey,TUR,2003,
Turkey,TUR,2004,
Turkey,TUR,2005,
Turkey,TUR,2006,
Turkey,TUR,2007,
Turkey,TUR,2008,
Turkey,TUR,2009,
Turkey,TUR,2010,
Turkey,TUR,2011,
Turkey,TUR,2012,
Turkey,TUR,2013,
Turkey,TUR,2014,
Turkey,TUR,2015,
Turkey,TUR,2016,
Turkey,TUR,2017,
Turkey,TUR,2018,
Bulgaria,BGR,2003,
Bulgaria,BGR,2004,
Bulgaria,BGR,2005,
Bulgaria,BGR,2006,
Bulgaria,BGR,2007,
Bulgaria,BGR,2008,
Bulgaria,BGR,2009,
Bulgaria,BGR,2010,46
Bulgaria,BGR,2011,50
Bulgaria,BGR,2012,52
Bulgaria,BGR,2013,32
Bulgaria,BGR,2014,28
Bulgaria,BGR,2015,43
Bulgaria,BGR,2016,48
Bulgaria,BGR,2017,36
Bulgaria,BGR,2018,32
Hungary,HUN,2003,
Hungary,HUN,2004,
Hungary,HUN,2005,
Hungary,HUN,2006,
Hungary,HUN,2007,
Hungary,HUN,2008,
Hungary,HUN,2009,
Hungary,HUN,2010,51
Hungary,HUN,2011,40
Hungary,HUN,2012,54
Hungary,HUN,2013,
Hungary,HUN,2014,
Hungary,HUN,2015,
Hungary,HUN,2016,64
Hungary,HUN,2017,75
Hungary,HUN,2018,71
Poland,POL,2003,
Poland,POL,2004,
Poland,POL,2005,
Poland,POL,2006,
Poland,POL,2007,
Poland,POL,2008,
Poland,POL,2009,
Poland,POL,2010,135
Poland,POL,2011,127
Poland,POL,2012,107
Poland,POL,2013,109
Poland,POL,2014,107
Poland,POL,2015,105
Poland,POL,2016,123
Poland,POL,2017,
Poland,POL,2018,170
Romania,ROU,2003,
Romania,ROU,2004,
Romania,ROU,2005,
Romania,ROU,2006,
Romania,ROU,2007,
Romania,ROU,2008,
Romania,ROU,2009,
Romania,ROU,2010,77
Romania,ROU,2011,88
Romania,ROU,2012,115
Romania,ROU,2013,102
Romania,ROU,2014,122
Romania,ROU,2015,113
Romania,ROU,2016,98
Romania,ROU,2017,91
Romania,ROU,2018,103
Slovakia,SVK,2003,
Slovakia,SVK,2004,
Slovakia,SVK,2005,
Slovakia,SVK,2006,
Slovakia,SVK,2007,
Slovakia,SVK,2008,
Slovakia,SVK,2009,
Slovakia,SVK,2010,16
Slovakia,SVK,2011,15
Slovakia,SVK,2012,23
Slovakia,SVK,2013,12
Slovakia,SVK,2014,18
Slovakia,SVK,2015,18
Slovakia,SVK,2016,30
Slovakia,SVK,2017,29
Slovakia,SVK,2018,17
Denmark,DNK,2003,
Denmark,DNK,2004,
Denmark,DNK,2005,
Denmark,DNK,2006,
Denmark,DNK,2007,
Denmark,DNK,2008,
Denmark,DNK,2009,
Denmark,DNK,2010,11
Denmark,DNK,2011,13
Denmark,DNK,2012,5
Denmark,DNK,2013,8
Denmark,DNK,2014,4
Denmark,DNK,2015,4
Denmark,DNK,2016,12
Denmark,DNK,2017,9
Denmark,DNK,2018,8
Estonia,EST,2003,
Estonia,EST,2004,
Estonia,EST,2005,
Estonia,EST,2006,
Estonia,EST,2007,
Estonia,EST,2008,
Estonia,EST,2009,
Estonia,EST,2010,6
Estonia,EST,2011,9
Estonia,EST,2012,5
Estonia,EST,2013,5
Estonia,EST,2014,8
Estonia,EST,2015,4
Estonia,EST,2016,2
Estonia,EST,2017,5
Estonia,EST,2018,8
Finland,FIN,2003,
Finland,FIN,2004,
Finland,FIN,2005,
Finland,FIN,2006,
Finland,FIN,2007,
Finland,FIN,2008,
Finland,FIN,2009,
Finland,FIN,2010,6
Finland,FIN,2011,8
Finland,FIN,2012,4
Finland,FIN,2013,5
Finland,FIN,2014,9
Finland,FIN,2015,3
Finland,FIN,2016,4
Finland,FIN,2017,2
Finland,FIN,2018,3
Iceland,ISL,2003,
Iceland,ISL,2004,
Iceland,ISL,2005,
Iceland,ISL,2006,
Iceland,ISL,2007,
Iceland,ISL,2008,
Iceland,ISL,2009,
Iceland,ISL,2010,
Iceland,ISL,2011,
Iceland,ISL,2012,
Iceland,ISL,2013,2
Iceland,ISL,2014,0
Iceland,ISL,2015,0
Iceland,ISL,2016,0
Iceland,ISL,2017,1
Iceland,ISL,2018,1
Ireland,IRL,2003,
Ireland,IRL,2004,
Ireland,IRL,2005,
Ireland,IRL,2006,
Ireland,IRL,2007,
Ireland,IRL,2008,
Ireland,IRL,2009,
Ireland,IRL,2010,11
Ireland,IRL,2011,6
Ireland,IRL,2012,5
Ireland,IRL,2013,10
Ireland,IRL,2014,9
Ireland,IRL,2015,
Ireland,IRL,2016,
Ireland,IRL,2017,
Ireland,IRL,2018,
Latvia,LVA,2003,
Latvia,LVA,2004,
Latvia,LVA,2005,
Latvia,LVA,2006,
Latvia,LVA,2007,
Latvia,LVA,2008,
Latvia,LVA,2009,
Latvia,LVA,2010,20
Latvia,LVA,2011,27
Latvia,LVA,2012,30
Latvia,LVA,2013,15
Latvia,LVA,2014,28
Latvia,LVA,2015,17
Latvia,LVA,2016,17
Latvia,LVA,2017,12
Latvia,LVA,2018,24
Lithuania,LTU,2003,
Lithuania,LTU,2004,
Lithuania,LTU,2005,
Lithuania,LTU,2006,
Lithuania,LTU,2007,
Lithuania,LTU,2008,
Lithuania,LTU,2009,
Lithuania,LTU,2010,25
Lithuania,LTU,2011,32
Lithuania,LTU,2012,35
Lithuania,LTU,2013,48
Lithuania,LTU,2014,43
Lithuania,LTU,2015,39
Lithuania,LTU,2016,38
Lithuania,LTU,2017,33
Lithuania,LTU,2018,30
Norway,NOR,2003,
Norway,NOR,2004,
Norway,NOR,2005,
Norway,NOR,2006,
Norway,NOR,2007,
Norway,NOR,2008,
Norway,NOR,2009,
Norway,NOR,2010,3
Norway,NOR,2011,6
Norway,NOR,2012,6
Norway,NOR,2013,12
Norway,NOR,2014,6
Norway,NOR,2015,5
Norway,NOR,2016,6
Norway,NOR,2017,5
Norway,NOR,2018,4
Sweden,SWE,2003,
Sweden,SWE,2004,
Sweden,SWE,2005,
Sweden,SWE,2006,
Sweden,SWE,2007,
Sweden,SWE,2008,
Sweden,SWE,2009,
Sweden,SWE,2010,14
Sweden,SWE,2011,14
Sweden,SWE,2012,16
Sweden,SWE,2013,13
Sweden,SWE,2014,16
Sweden,SWE,2015,8
Sweden,SWE,2016,8
Sweden,SWE,2017,8
Sweden,SWE,2018,14
United Kingdom (England and Wales),GBR,2003,
United Kingdom (England and Wales),GBR,2004,
United Kingdom (England and Wales),GBR,2005,
United Kingdom (England and Wales),GBR,2006,
United Kingdom (England and Wales),GBR,2007,
United Kingdom (England and Wales),GBR,2008,
United Kingdom (England and Wales),GBR,2009,
United Kingdom (England and Wales),GBR,2010,197
United Kingdom (England and Wales),GBR,2011,192
United Kingdom (England and Wales),GBR,2012,192
United Kingdom (England and Wales),GBR,2013,215
United Kingdom (England and Wales),GBR,2014,243
United Kingdom (England and Wales),GBR,2015,257
United Kingdom (England and Wales),GBR,2016,354
United Kingdom (England and Wales),GBR,2017,295
United Kingdom (England and Wales),GBR,2018,325
Albania,ALB,2003,
Albania,ALB,2004,
Albania,ALB,2005,
Albania,ALB,2006,
Albania,ALB,2007,
Albania,ALB,2008,
Albania,ALB,2009,
Albania,ALB,2010,
Albania,ALB,2011,
Albania,ALB,2012,
Albania,ALB,2013,13
Albania,ALB,2014,12
Albania,ALB,2015,11
Albania,ALB,2016,17
Albania,ALB,2017,23
Albania,ALB,2018,24
Bosnia and Herzegovina,BIH,2003,
Bosnia and Herzegovina,BIH,2004,
Bosnia and Herzegovina,BIH,2005,
Bosnia and Herzegovina,BIH,2006,
Bosnia and Herzegovina,BIH,2007,
Bosnia and Herzegovina,BIH,2008,
Bosnia and Herzegovina,BIH,2009,
Bosnia and Herzegovina,BIH,2010,
Bosnia and Herzegovina,BIH,2011,
Bosnia and Herzegovina,BIH,2012,
Bosnia and Herzegovina,BIH,2013,
Bosnia and Herzegovina,BIH,2014,
Bosnia and Herzegovina,BIH,2015,8
Bosnia and Herzegovina,BIH,2016,11
Bosnia and Herzegovina,BIH,2017,
Bosnia and Herzegovina,BIH,2018,
Croatia,HRV,2003,
Croatia,HRV,2004,
Croatia,HRV,2005,
Croatia,HRV,2006,
Croatia,HRV,2007,
Croatia,HRV,2008,
Croatia,HRV,2009,
Croatia,HRV,2010,12
Croatia,HRV,2011,13
Croatia,HRV,2012,13
Croatia,HRV,2013,
Croatia,HRV,2014,16
Croatia,HRV,2015,11
Croatia,HRV,2016,11
Croatia,HRV,2017,14
Croatia,HRV,2018,18
Greece,GRC,2003,
Greece,GRC,2004,
Greece,GRC,2005,
Greece,GRC,2006,
Greece,GRC,2007,
Greece,GRC,2008,
Greece,GRC,2009,
Greece,GRC,2010,
Greece,GRC,2011,
Greece,GRC,2012,
Greece,GRC,2013,39
Greece,GRC,2014,
Greece,GRC,2015,60
Greece,GRC,2016,46
Greece,GRC,2017,37
Greece,GRC,2018,69
Italy,ITA,2003,
Italy,ITA,2004,
Italy,ITA,2005,
Italy,ITA,2006,
Italy,ITA,2007,
Italy,ITA,2008,
Italy,ITA,2009,
Italy,ITA,2010,163
Italy,ITA,2011,165
Italy,ITA,2012,153
Italy,ITA,2013,154
Italy,ITA,2014,94
Italy,ITA,2015,108
Italy,ITA,2016,103
Italy,ITA,2017,126
Italy,ITA,2018,161
Kosovo under UNSCR 1244,OSA,2003,
Kosovo under UNSCR 1244,OSA,2004,
Kosovo under UNSCR 1244,OSA,2005,
Kosovo under UNSCR 1244,OSA,2006,
Kosovo under UNSCR 1244,OSA,2007,
Kosovo under UNSCR 1244,OSA,2008,
Kosovo under UNSCR 1244,OSA,2009,
Kosovo under UNSCR 1244,OSA,2010,
Kosovo under UNSCR 1244,OSA,2011,
Kosovo under UNSCR 1244,OSA,2012,
Kosovo under UNSCR 1244,OSA,2013,
Kosovo under UNSCR 1244,OSA,2014,
Kosovo under UNSCR 1244,OSA,2015,
Kosovo under UNSCR 1244,OSA,2016,4
Kosovo under UNSCR 1244,OSA,2017,5
Kosovo under UNSCR 1244,OSA,2018,3
Montenegro,MNE,2003,
Montenegro,MNE,2004,
Montenegro,MNE,2005,
Montenegro,MNE,2006,
Montenegro,MNE,2007,
Montenegro,MNE,2008,
Montenegro,MNE,2009,
Montenegro,MNE,2010,
Montenegro,MNE,2011,
Montenegro,MNE,2012,
Montenegro,MNE,2013,
Montenegro,MNE,2014,8
Montenegro,MNE,2015,
Montenegro,MNE,2016,6
Montenegro,MNE,2017,
Montenegro,MNE,2018,3
North Macedonia,MKD,2003,
North Macedonia,MKD,2004,
North Macedonia,MKD,2005,
North Macedonia,MKD,2006,
North Macedonia,MKD,2007,
North Macedonia,MKD,2008,
North Macedonia,MKD,2009,
North Macedonia,MKD,2010,
North Macedonia,MKD,2011,
North Macedonia,MKD,2012,
North Macedonia,MKD,2013,
North Macedonia,MKD,2014,
North Macedonia,MKD,2015,
North Macedonia,MKD,2016,
North Macedonia,MKD,2017,
North Macedonia,MKD,2018,
Portugal,PRT,2003,
Portugal,PRT,2004,
Portugal,PRT,2005,
Portugal,PRT,2006,
Portugal,PRT,2007,
Portugal,PRT,2008,
Portugal,PRT,2009,
Portugal,PRT,2010,64
Portugal,PRT,2011,64
Portugal,PRT,2012,66
Portugal,PRT,2013,62
Portugal,PRT,2014,73
Portugal,PRT,2015,67
Portugal,PRT,2016,68
Portugal,PRT,2017,69
Portugal,PRT,2018,54
Serbia,SRB,2003,
Serbia,SRB,2004,
Serbia,SRB,2005,
Serbia,SRB,2006,
Serbia,SRB,2007,
Serbia,SRB,2008,
Serbia,SRB,2009,
Serbia,SRB,2010,69
Serbia,SRB,2011,63
Serbia,SRB,2012,90
Serbia,SRB,2013,69
Serbia,SRB,2014,37
Serbia,SRB,2015,61
Serbia,SRB,2016,48
Serbia,SRB,2017,55
Serbia,SRB,2018,56
Spain,ESP,2003,
Spain,ESP,2004,
Spain,ESP,2005,
Spain,ESP,2006,
Spain,ESP,2007,
Spain,ESP,2008,
Spain,ESP,2009,
Spain,ESP,2010,
Spain,ESP,2011,
Spain,ESP,2012,
Spain,ESP,2013,
Spain,ESP,2014,153
Spain,ESP,2015,157
Spain,ESP,2016,156
Spain,ESP,2017,147
Spain,ESP,2018,210
Austria,AUT,2003,
Austria,AUT,2004,
Austria,AUT,2005,
Austria,AUT,2006,
Austria,AUT,2007,
Austria,AUT,2008,
Austria,AUT,2009,
Austria,AUT,2010,35
Austria,AUT,2011,37
Austria,AUT,2012,33
Austria,AUT,2013,39
Austria,AUT,2014,23
Austria,AUT,2015,34
Austria,AUT,2016,40
Austria,AUT,2017,33
