country_name,country_code,year,tot_adults,tot_juvenile,total_mortality
Cyprus,CYP,2003,282,,
Cyprus,CYP,2004,338,33,
Cyprus,CYP,2005,461,41,
Cyprus,CYP,2006,531,47,
Cyprus,CYP,2007,525,20,
Cyprus,CYP,2008,624,28,
Cyprus,CYP,2009,550,28,
Cyprus,CYP,2010,622,14,
Cyprus,CYP,2011,606,16,
Cyprus,CYP,2012,652,26,
Cyprus,CYP,2013,516,37,
Cyprus,CYP,2014,509,23,
Cyprus,CYP,2015,523,24,
Cyprus,CYP,2016,571,15,
Cyprus,CYP,2017,571,21,
Cyprus,CYP,2018,0,,
Turkey,TUR,2003,2193,,
Turkey,TUR,2004,1951,,
Turkey,TUR,2005,1834,,
Turkey,TUR,2006,2444,,
Turkey,TUR,2007,90306,,
Turkey,TUR,2008,100489,2746,
Turkey,TUR,2009,113661,2679,
Turkey,TUR,2010,118701,2113,
Turkey,TUR,2011,126270,2334,
Turkey,TUR,2012,133719,2001,
Turkey,TUR,2013,143589,1879,
Turkey,TUR,2014,157411,1986,
Turkey,TUR,2015,175936,2321,
Turkey,TUR,2016,198325,2402,
Turkey,TUR,2017,0,,
Turkey,TUR,2018,0,,
Bulgaria,BGR,2003,294,138,
Bulgaria,BGR,2004,10719,152,
Bulgaria,BGR,2005,11305,131,
Bulgaria,BGR,2006,10954,104,
Bulgaria,BGR,2007,10177,94,
Bulgaria,BGR,2008,9333,75,
Bulgaria,BGR,2009,8948,58,
Bulgaria,BGR,2010,9306,73,46
Bulgaria,BGR,2011,9796,89,50
Bulgaria,BGR,2012,9418,75,52
Bulgaria,BGR,2013,8756,78,32
Bulgaria,BGR,2014,7807,63,28
Bulgaria,BGR,2015,7362,46,43
Bulgaria,BGR,2016,7318,27,48
Bulgaria,BGR,2017,6958,30,36
Bulgaria,BGR,2018,0,,32
Hungary,HUN,2003,989,,
Hungary,HUN,2004,16098,448,
Hungary,HUN,2005,15272,483,
Hungary,HUN,2006,14354,468,
Hungary,HUN,2007,13909,444,
Hungary,HUN,2008,14212,531,
Hungary,HUN,2009,14920,512,
Hungary,HUN,2010,15767,561,51
Hungary,HUN,2011,16686,524,40
Hungary,HUN,2012,16665,514,54
Hungary,HUN,2013,17363,478,
Hungary,HUN,2014,17466,424,
Hungary,HUN,2015,17097,352,
Hungary,HUN,2016,17351,307,64
Hungary,HUN,2017,17106,237,75
Hungary,HUN,2018,0,,71
Poland,POL,2003,1260,3598,
Poland,POL,2004,61555,3420,
Poland,POL,2005,77607,7268,
Poland,POL,2006,83323,7206,
Poland,POL,2007,83131,6517,
Poland,POL,2008,79219,5759,
Poland,POL,2009,80179,5570,
Poland,POL,2010,77522,4850,135
Poland,POL,2011,78467,4365,127
Poland,POL,2012,81306,4153,107
Poland,POL,2013,76596,3569,109
Poland,POL,2014,75342,4003,107
Poland,POL,2015,69298,3397,105
Poland,POL,2016,70041,2168,123
Poland,POL,2017,72353,2127,
Poland,POL,2018,0,,170
