country_name;country_code;year;total;adults_male;adults_female;juvenile_male;juvenile_female;tot_juvenile;tot_male;tot_female;foreign;nationals;unsentenced;sentenced;actual;official;total_mortality;suicide_mortality;homicide_mortality;psychiatrists_staff;psychologists_staff;education_training_health_staff;total_staff
Cyprus;CYP;2003;355;271;11;;;;;;161;194;56;303;;;;;;;;;
Cyprus;CYP;2004;546;318;20;;;33;;;264;282;83;371;;;;;;;;;
Cyprus;CYP;2005;536;445;16;41;0;41;486;16;249;287;84;418;;;;;;;;;
Cyprus;CYP;2006;599;512;19;45;2;47;557;21;291;308;99;479;;;;;;;;;
Cyprus;CYP;2007;646;504;21;20;0;20;524;21;335;311;69;478;;;;;;;;;
Cyprus;CYP;2008;646;582;42;26;2;28;608;44;385;261;118;534;652;322;;;;;;;
Cyprus;CYP;2009;670;519;31;27;1;28;546;32;415;255;105;473;578;360;;;;;;;
Cyprus;CYP;2010;637;577;45;14;0;14;591;45;375;262;139;497;636;351;;;;;;;
Cyprus;CYP;2011;634;571;35;14;2;16;585;37;368;266;135;487;622;370;;;;;;;
Cyprus;CYP;2012;694;609;43;24;2;26;633;45;374;320;156;522;678;370;;;;;;;
Cyprus;CYP;2013;592;491;25;32;5;37;523;30;316;276;117;436;553;370;;;;;;;
Cyprus;CYP;2014;537;479;30;23;0;23;502;30;257;280;101;431;532;;;;;2;NaN;;
Cyprus;CYP;2015;596;492;31;23;1;24;515;32;250;346;110;437;547;480;;;;NaN;3;;
Cyprus;CYP;2016;668;530;41;15;0;15;545;41;279;389;135;451;586;;;;;;;;
Cyprus;CYP;2017;625;538;33;20;1;21;558;34;250;375;151;441;592;528;;;;;;;
Cyprus;CYP;2018;648;;;;;;;;282;366;;;619;566;;;;;;;
Turkey;TUR;2003;63796;;2193;;;;;;812;62984;;;;;;;;;;;
Turkey;TUR;2004;58016;;1951;;;;;;676;57340;;;;;;;;;;;
Turkey;TUR;2005;55966;;1834;;;;;;601;55365;;;;;;;;;;;
Turkey;TUR;2006;70524;;2444;;;;;;1050;69474;;;;;;;;;;;
Turkey;TUR;2007;90732;87127;3179;;;;;;1092;89640;;;;;;;;;;;
Turkey;TUR;2008;103435;96890;3599;;;2746;;;1395;102040;;;;;;;;;;;
Turkey;TUR;2009;115920;109648;4013;2501;61;2679;112149;4074;1861;114059;;;116340;106779;;;;;;;
Turkey;TUR;2010;120194;114551;4150;2045;68;2113;116596;4218;2116;118078;;;120814;114348;;;;;;;
Turkey;TUR;2011;128253;121731;4539;2262;72;2334;123993;4611;2245;126008;;;128604;116754;;;;;;;
Turkey;TUR;2012;136638;129181;4538;1946;55;2001;131127;4593;2214;134415;;;136020;142460;;;;;;;
Turkey;TUR;2013;144098;138420;5169;1829;50;1879;140249;5219;2494;141604;;;145468;154115;;;;;;;
Turkey;TUR;2014;158690;151656;5755;1923;63;1986;153579;5818;2909;155781;;;159397;163129;;;;;;;
Turkey;TUR;2015;177262;169501;6435;2247;74;2321;171748;6509;3822;173440;;;178257;177636;;;;;;;
Turkey;TUR;2016;200727;190031;8294;2323;79;2402;192354;8373;4442;196285;;;200727;202675;;;;;;;
Turkey;TUR;2017;232340;;;;;;;;6346;225994;;;233415;208780;;;;;;;
Turkey;TUR;2018;264842;;;;;;;;8578;256264;;;264842;213862;;;;;;;
Bulgaria;BGR;2003;9282;;294;;3;138;;297;191;9091;1861;8205;;;;;;;;;
Bulgaria;BGR;2004;9931;10370;349;149;3;152;10519;352;207;9724;1988;8883;;;;;;;;;
Bulgaria;BGR;2005;10722;10918;387;128;3;131;11046;390;219;10503;2080;9356;;;;;;;;;
Bulgaria;BGR;2006;11308;10583;371;97;7;104;10680;378;247;11061;1354;9704;;;;;;;;;
Bulgaria;BGR;2007;10961;9844;333;89;5;94;9933;338;222;10739;952;9319;;;;;;;;;
Bulgaria;BGR;2008;10182;9043;290;73;2;75;9116;292;202;9980;794;8614;9408;9408;;;;;;;
Bulgaria;BGR;2009;10093;8708;240;57;1;58;8765;241;213;9880;890;8116;9006;9006;;;;;;;
Bulgaria;BGR;2010;10448;9015;291;73;0;73;9088;291;207;10241;1059;8320;9379;9379;46;6;;;;;
Bulgaria;BGR;2011;9885;9507;289;89;0;89;9596;289;175;9710;1099;8786;9885;9885;50;4;;;;;
Bulgaria;BGR;2012;9493;9111;307;73;2;75;9184;309;180;9313;927;8566;9493;9493;52;6;;;;;
Bulgaria;BGR;2013;8834;8493;263;77;1;78;8570;264;253;8581;774;8060;8834;8834;32;4;;;;;
Bulgaria;BGR;2014;7870;7549;258;62;1;63;7611;259;232;7638;669;7201;7870;7870;28;0;;;;;2797
Bulgaria;BGR;2015;7408;7117;245;45;1;46;7162;246;242;7166;689;6719;7408;7408;43;7;0;NaN;NaN;;2810
Bulgaria;BGR;2016;7345;7090;228;27;0;27;7117;228;215;7130;587;6758;7345;8491;48;3;0;2;28;;2849
Bulgaria;BGR;2017;6988;6740;218;29;1;30;6769;219;186;6802;639;6349;6988;8491;36;5;0;;;105;1643
Bulgaria;BGR;2018;6651;;;;;;;;161;6490;;;6651;8241;32;3;0;;;;
Hungary;HUN;2003;16507;;989;;44;;;1033;746;15761;;;;;;;;;;;
Hungary;HUN;2004;16543;15119;979;435;13;448;15554;992;697;15846;4079;12467;;;;;;;;;
Hungary;HUN;2005;15720;14292;980;465;18;483;14757;998;593;15127;3970;11785;;;;;;;;;
Hungary;HUN;2006;14821;13412;942;448;20;468;13860;962;538;14283;3786;11036;;;;;;;;;
Hungary;HUN;2007;14331;13010;899;422;22;444;13432;921;541;13790;3824;10529;;;;;;;;;
Hungary;HUN;2008;14702;13289;923;507;24;531;13796;947;535;14167;4353;10390;14743;12556;;;;;;;
Hungary;HUN;2009;15360;13931;989;495;17;512;14426;1006;577;14783;4493;10939;15432;12042;;;;;;;
Hungary;HUN;2010;16328;14758;1009;540;21;561;15298;1030;597;15731;4803;11525;16328;12335;51;7;1;;;;
Hungary;HUN;2011;17210;15470;1216;501;23;524;15971;1239;585;16625;4875;12335;17210;12604;40;9;2;;;;
Hungary;HUN;2012;17179;15440;1225;498;16;514;15938;1241;621;16558;4888;12291;17179;12573;54;8;0;;;;
Hungary;HUN;2013;17841;16027;1336;458;20;478;16485;1356;653;17188;5053;12788;17841;12584;;;;;;;
Hungary;HUN;2014;17890;16134;1332;407;17;424;16541;1349;700;17190;4400;13490;17890;12584;;;;;;;
Hungary;HUN;2015;17449;15862;1235;337;15;352;16199;1250;909;16540;4021;13428;17449;13209;;;;;;;
Hungary;HUN;2016;17658;16071;1280;290;17;307;16361;1297;NaN;NaN;3622;14036;17658;13774;64;9;0;;;;8417
Hungary;HUN;2017;17343;15838;1268;229;8;237;16067;1276;NaN;NaN;3401;13942;17343;14011;75;4;1;;;;8802
Hungary;HUN;2018;16303;;;;;;;;NaN;NaN;;;16303;14469;71;6;0;;;;
Poland;POL;2003;79281;;1260;3541;57;3598;;1317;1173;78108;18240;61041;;;;;;;;;
Poland;POL;2004;80368;60069;1486;3365;55;3420;63434;1541;1041;79327;15055;65313;;;;;;;;;
Poland;POL;2005;82955;75372;2235;6970;298;7268;82342;2533;655;82300;13793;71082;;;;;;;;;
Poland;POL;2006;88647;80773;2550;6910;296;7206;87683;2846;659;87988;14834;75695;;;;;;;;;
Poland;POL;2007;87776;80630;2501;6232;285;6517;86862;2786;646;87130;11903;77745;;;;;;;;;
Poland;POL;2008;83152;76764;2455;5484;275;5759;82248;2730;539;82613;9395;75583;84978;85049;;;;;;;
Poland;POL;2009;84003;77745;2434;5307;263;5570;83052;2697;595;83408;9976;75773;85749;86019;;;;;;;
Poland;POL;2010;80728;75007;2515;4586;264;4850;79593;2779;572;80156;8811;73561;82372;86755;135;34;;;;;
Poland;POL;2011;81382;76011;2456;4129;236;4365;80140;2692;555;80827;8507;74325;82832;87961;127;22;;;;;
Poland;POL;2012;84156;78668;2638;3944;209;4153;82612;2847;566;83590;7354;78105;85459;88498;107;18;;;;;
Poland;POL;2013;78994;74005;2591;3391;178;3569;77396;2769;521;78473;6858;73307;80165;88662;109;19;;;;;
Poland;POL;2014;77371;72858;2484;3716;287;4003;76574;2771;537;76834;6238;73107;79345;87742;107;26;;;;5969;30349
Poland;POL;2015;70836;66962;2336;3154;243;3397;70116;2579;519;70317;4162;68533;72695;89164;105;23;;;;5852;29935
Poland;POL;2016;71528;67506;2535;2061;107;2168;69567;2642;662;70866;5396;66813;72209;89178;123;24;;38;616;5860;30191
Poland;POL;2017;73822;69528;2825;1969;158;2127;71497;2983;840;72982;7239;67241;74480;88637;;;;;;5864;30227
Poland;POL;2018;72204;;;;;;;;1037;71167;;;72818;85940;170;26;;;;;
Romania;ROU;2003;42770;;1503;626;29;655;;1532;328;42442;6707;36108;;;;;;;;;
Romania;ROU;2004;39044;30973;1466;540;28;568;31513;1494;304;38740;6024;33007;;;;;;;;;
Romania;ROU;2005;36689;34910;1595;779;85;864;35689;1680;265;36424;5383;31317;;;;;;;;;
Romania;ROU;2006;34038;31773;1509;723;33;756;32496;1542;252;33786;4282;29756;;;;;;;;;
Romania;ROU;2007;29390;27472;1380;521;17;538;27993;1397;217;29173;2947;26443;;;;;;;;;
Romania;ROU;2008;26212;24570;1211;416;15;431;24986;1226;191;26021;3112;23100;26212;34299;;;;;;;
Romania;ROU;2009;26716;25052;1194;451;19;470;25503;1213;200;26516;4408;22308;26716;33960;;;;;;;
Romania;ROU;2010;28244;26538;1247;435;24;459;26973;1271;207;28037;4630;23614;28244;34165;77;9;1;;;;
Romania;ROU;2011;30694;28889;1355;429;21;450;29318;1376;208;30486;3313;27381;30694;26618;88;9;1;;;;
Romania;ROU;2012;31817;29968;1405;427;17;444;30395;1422;174;31643;3179;28638;31817;27125;115;22;0;;;;
Romania;ROU;2013;33434;31383;1539;492;20;512;31875;1559;195;33239;1845;31589;33434;29389;102;18;2;;;;
Romania;ROU;2014;30156;28323;1517;296;20;316;28619;1537;253;29903;1601;28555;30156;28901;122;13;0;;;1366;12053
Romania;ROU;2015;28334;26591;1427;300;16;316;26891;1443;269;28065;1485;26849;28334;27479;113;11;1;6;132;1320;12160
Romania;ROU;2016;27455;25657;1391;387;20;407;26044;1411;302;27153;1585;25870;27455;27889;98;11;;;;1500;11684
Romania;ROU;2017;23450;21955;1100;375;20;395;22330;1120;286;23164;1370;22080;23450;20408;91;9;1;;;1644;12278
Romania;ROU;2018;20792;;;;;;;;253;20539;;;20792;19414;103;11;;;;;
Slovakia;SVK;2003;5983;;231;;1;106;;232;84;5899;;;;;;;;;;;
Slovakia;SVK;2004;6331;;369;;5;202;;374;84;6247;3091;6331;;;;;;;;;
Slovakia;SVK;2005;6051;;378;;3;239;;381;73;5978;2846;6051;;;;;;;;;
Slovakia;SVK;2006;6006;;378;;3;182;;381;63;5943;2243;6006;;;;;;;;;
Slovakia;SVK;2007;6137;;369;;3;193;;372;62;6075;1849;6137;;;;;;;;;
