Region,Sub-region,country_name,Indicator,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Africa,Eastern Africa,Burundi,Foreign ,,,,133,121,114,,119,115,,,,,,
Africa,Eastern Africa,Burundi,Total persons held,,,,"8,277","8,343","9,927","10,816","9,823","10,432","6,369","7,784","7,527",,,
Africa,Eastern Africa,Djibouti,Foreign ,,,,,,,,,,,,,,83,
Africa,Eastern Africa,Djibouti,National ,,,,,,,,,,,,,,241,
Africa,Eastern Africa,Kenya,Foreign ,,,,,,300,312,297,312,270,320,402,380,626,622
Africa,Eastern Africa,Kenya,National ,,,,,,"48,792","47,810","47,856","50,756","44,252","53,110","53,135","53,845","47,874","50,399"
Africa,Eastern Africa,Kenya,Total persons held,,,,,,"49,092","48,122","48,153","51,068","44,522","53,430","53,537","54,225","48,500","51,021"
Africa,Eastern Africa,Madagascar,Foreign ,,,,,,,,17,15,40,35,48,32,,
Africa,Eastern Africa,Madagascar,National ,,,,,,,,"18,338","18,563","19,110","19,769","20,305","20,563",,
Africa,Eastern Africa,Madagascar,Total persons held,,,,,,,,"18,355","18,578","19,150","19,804","20,353","20,595",,
Africa,Eastern Africa,Mauritius,Foreign ,86,92,111,88,96,109,116,129,127,178,,,,,
Africa,Eastern Africa,Mauritius,National ,"2,519","2,480","2,435","2,150","2,176","2,091","2,268","2,320","2,579","2,642",,,,,
Africa,Eastern Africa,Mauritius,Total persons held,"2,605","2,572","2,547","2,238","2,272","2,200","2,384","2,449","2,706","2,760",,,,,
Africa,Eastern Africa,Mozambique,Total persons held,,"15,359","17,769","18,013","17,858","27,889","35,235",,,,,,,,
Africa,Eastern Africa,Seychelles,Foreign ,,,,,,16,,,,,,,,,
Africa,Eastern Africa,Seychelles,National ,,,,,,281,,,,,,,,,
Africa,Eastern Africa,Seychelles,Total persons held,172,147,162,174,172,297,,,,,,,,,
Africa,Eastern Africa,Uganda,Foreign ,131,69,64,44,219,59,71,125,,201,260,225,794,800,"1,140"
Africa,Eastern Africa,Uganda,National ,"17,821","18,480","18,984","19,273","19,028","28,775","31,102","31,105",,"35,011","39,308","42,105","44,158","50,447","47,754"
Africa,Eastern Africa,Uganda,Total persons held,"17,952","18,549","19,048","19,225","19,247","28,775","31,173","31,230","32,021","35,212","39,568","42,330","45,527","51,354","48,894"
Africa,Eastern Africa,Zimbabwe,Foreign ,150,145,115,113,100,101,,,,,,,,,
Africa,Eastern Africa,Zimbabwe,Total persons held,"21,125","19,888","17,997","18,081","16,429","14,029",,,,,,,,,
Africa,Middle Africa,Cameroon,Foreign ,,,,,,,,,,,518,814,"1,511",,"1,588"
Africa,Middle Africa,Cameroon,National ,,,,,,"17,476",,,,,"24,796","25,095","26,178",,"30,240"
