country_name,country_code,year,total,adults_male,adults_female,juvenile_male,juvenile_female,tot_juvenile,tot_male,tot_female,foreign,nationals,unsentenced,sentenced,actual,official
Cyprus,CYP,2003,359,271,11,,,,,,118,241,56,303,,
Cyprus,CYP,2004,454,318,20,,,33,,,158,296,83,371,,
Cyprus,CYP,2005,502,445,16,41,0,41,486,16,242,260,84,418,,
Cyprus,CYP,2006,578,512,19,45,2,47,557,21,277,301,99,479,,
Cyprus,CYP,2007,547,504,21,20,0,20,524,21,261,286,69,478,,
Cyprus,CYP,2008,652,582,42,26,2,28,608,44,377,275,118,534,652,322
Cyprus,CYP,2009,578,519,31,27,1,28,546,32,321,257,105,473,578,360
Cyprus,CYP,2010,636,577,45,14,0,14,591,45,374,262,139,497,636,351
Cyprus,CYP,2011,622,571,35,14,2,16,585,37,356,266,135,487,622,370
Cyprus,CYP,2012,678,609,43,24,2,26,633,45,404,274,156,522,678,370
Cyprus,CYP,2013,553,491,25,32,5,37,523,30,306,247,117,436,553,370
Cyprus,CYP,2014,532,479,30,23,0,23,502,30,239,293,101,431,532,
Cyprus,CYP,2015,547,492,31,23,1,24,515,32,214,333,110,437,547,480
Cyprus,CYP,2016,586,530,41,15,0,15,545,41,237,349,135,451,586,
Cyprus,CYP,2017,592,538,33,20,1,21,558,34,151,441,151,441,592,528
Cyprus,CYP,2018,619,,,,,,,,,,,,619,566
Turkey,TUR,2003,63796,,2193,,,,,,812,62984,,,,
Turkey,TUR,2004,58016,,1951,,,,,,676,57340,,,,
Turkey,TUR,2005,55966,,1834,,,,,,601,55365,,,,
Turkey,TUR,2006,70524,,2444,,,,,,1050,69474,,,,
Turkey,TUR,2007,90732,87127,3179,,,,,,1092,89640,,,,
Turkey,TUR,2008,103435,96890,3599,,,2746,,,1395,102040,,,,
Turkey,TUR,2009,115920,109648,4013,2501,61,2679,112149,4074,1861,114059,,,116340,106779
Turkey,TUR,2010,120194,114551,4150,2045,68,2113,116596,4218,2116,118078,,,120814,114348
Turkey,TUR,2011,128253,121731,4539,2262,72,2334,123993,4611,2245,126008,,,128604,116754
Turkey,TUR,2012,136638,129181,4538,1946,55,2001,131127,4593,2193,134445,,,136020,142460
Turkey,TUR,2013,144098,138420,5169,1829,50,1879,140249,5219,2465,141633,,,145468,154115
Turkey,TUR,2014,158690,151656,5755,1923,63,1986,153579,5818,2943,155747,,,159397,163129
Turkey,TUR,2015,178257,169501,6435,2247,74,2321,171748,6509,3807,174450,,,178257,177636
Turkey,TUR,2016,200727,190031,8294,2323,79,2402,192354,8373,4441,196286,,,200727,202675
Turkey,TUR,2017,233415,,,,,,,,,,,,233415,208780
Turkey,TUR,2018,264842,,,,,,,,,,,,264842,213862
Bulgaria,BGR,2003,10066,,294,,3,138,,297,207,9859,1861,8205,,
Bulgaria,BGR,2004,10871,10370,349,149,3,152,10519,352,219,10652,1988,8883,,
Bulgaria,BGR,2005,11436,10918,387,128,3,131,11046,390,247,11189,2080,9356,,
Bulgaria,BGR,2006,11058,10583,371,97,7,104,10680,378,222,10836,1354,9704,,
Bulgaria,BGR,2007,10271,9844,333,89,5,94,9933,338,202,10069,952,9319,,
Bulgaria,BGR,2008,9408,9043,290,73,2,75,9116,292,187,9221,794,8614,9408,9408
Bulgaria,BGR,2009,9006,8708,240,57,1,58,8765,241,165,8841,890,8116,9006,9006
Bulgaria,BGR,2010,9379,9015,291,73,0,73,9088,291,146,9233,1059,8320,9379,9379
Bulgaria,BGR,2011,9885,9507,289,89,0,89,9596,289,175,9710,1099,8786,9885,9885
Bulgaria,BGR,2012,9493,9111,307,73,2,75,9184,309,180,9313,927,8566,9493,9493
Bulgaria,BGR,2013,8834,8493,263,77,1,78,8570,264,253,8581,774,8060,8834,8834
Bulgaria,BGR,2014,7870,7549,258,62,1,63,7611,259,232,7638,669,7201,7870,7870
Bulgaria,BGR,2015,7408,7117,245,45,1,46,7162,246,242,7166,689,6719,7408,7408
Bulgaria,BGR,2016,7345,7090,228,27,0,27,7117,228,215,7130,587,6758,7345,8491
Bulgaria,BGR,2017,6988,6740,218,29,1,30,6769,219,186,6802,639,6349,6988,8491
Bulgaria,BGR,2018,6651,,,,,,,,,,,,6651,8241
Hungary,HUN,2003,16860,,989,,44,,,1033,749,16111,,,,
Hungary,HUN,2004,16546,15119,979,435,13,448,15554,992,692,15854,4079,12467,,
Hungary,HUN,2005,15755,14292,980,465,18,483,14757,998,595,15160,3970,11785,,
Hungary,HUN,2006,14822,13412,942,448,20,468,13860,962,545,14277,3786,11036,,
Hungary,HUN,2007,14353,13010,899,422,22,444,13432,921,545,13808,3824,10529,,
Hungary,HUN,2008,14743,13289,923,507,24,531,13796,947,538,14205,4353,10390,14743,12556
Hungary,HUN,2009,15432,13931,989,495,17,512,14426,1006,577,14855,4493,10939,15432,12042
Hungary,HUN,2010,16328,14758,1009,540,21,561,15298,1030,604,15724,4803,11525,16328,12335
Hungary,HUN,2011,17210,15470,1216,501,23,524,15971,1239,585,16625,4875,12335,17210,12604
Hungary,HUN,2012,17179,15440,1225,498,16,514,15938,1241,621,16558,4888,12291,17179,12573
Hungary,HUN,2013,17841,16027,1336,458,20,478,16485,1356,653,17188,5053,12788,17841,12584
Hungary,HUN,2014,17890,16134,1332,407,17,424,16541,1349,700,17190,4400,13490,17890,12584
Hungary,HUN,2015,17449,15862,1235,337,15,352,16199,1250,906,16543,4021,13428,17449,13209
Hungary,HUN,2016,17658,16071,1280,290,17,307,16361,1297,878,16780,3622,14036,17658,13774
Hungary,HUN,2017,17343,15838,1268,229,8,237,16067,1276,861,16482,3401,13942,17343,14011
Hungary,HUN,2018,16947,,,,,,,,,,,,16303,14469
Poland,POL,2003,79281,,1260,3541,57,3598,,1317,,,18240,61041,,
Poland,POL,2004,80368,60069,1486,3365,55,3420,63434,1541,1041,79327,15055,65313,,
Poland,POL,2005,84875,75372,2235,6970,298,7268,82342,2533,656,84219,13793,71082,,
Poland,POL,2006,90529,80773,2550,6910,296,7206,87683,2846,663,89866,14834,75695,,
Poland,POL,2007,89648,80630,2501,6232,285,6517,86862,2786,648,89000,11903,77745,,
Poland,POL,2008,84978,76764,2455,5484,275,5759,82248,2730,545,84433,9395,75583,84978,85049
