indicator,country_code,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
PRIS_ACT_CAP,ALB,5316,5674,6031,5981,5689,4998,4618,4659,4657,4667,4916
PRIS_ACT_CAP,AUT,9163,8852,8619,8665,8692,8862,8805,8770,8540,8708,8248
PRIS_ACT_CAP,BIH,4377,2820,2832,2730,2825,2898,,2757,2743,,
PRIS_ACT_CAP,BEL,,,,10994,,11818,11183,11040,10526,10126,9811
PRIS_ACT_CAP,BGR,6651,6988,7345,7408,7870,8834,9493,9885,9379,9006,9408
PRIS_ACT_CAP,CHE,6602,6564,6507,6498,6519,6652,6102,5626,5765,5605,5303
PRIS_ACT_CAP,CYP,619,592,586,547,532,553,678,622,636,578,652
PRIS_ACT_CAP,CZE,21577,22159,22481,20866,18658,16645,22644,23170,21900,21853,20502
PRIS_ACT_CAP,DEU,65762,65841,64291,63020,63228,66221,68533,69543,70827,72295,73793
PRIS_ACT_CAP,DNK,3635,3418,3408,3203,3583,4091,3829,3947,3944,3721,3451
PRIS_ACT_CAP,EST,2584,2723,2864,2823,3034,3023,3286,3400,3393,3555,3656
PRIS_ACT_CAP,GRC,10654,10011,9560,9611,11798,12693,12475,12479,12349,11364,11736
PRIS_ACT_CAP,ESP,58883,58814,59589,61614,65017,66765,68597,70472,73929,76079,73558
PRIS_ACT_CAP,FIN,2956,3082,3156,3135,3148,3295,3306,3268,3364,3589,3530
PRIS_ACT_CAP,FRA,70059,68974,68432,66678,66270,67075,66572,64787,60544,60978,62252
PRIS_ACT_CAP,HRV,3217,3190,3108,3341,3763,4352,4741,5084,5165,4891,4734
PRIS_ACT_CAP,HUN,16303,17343,17658,17449,17890,17841,17179,17210,16328,15432,14743
PRIS_ACT_CAP,IRL,3962,3680,3718,3755,3777,4088,4287,4216,4318,3868,3484
PRIS_ACT_CAP,ISL,136,137,116,139,154,147,153,150,167,148,140
PRIS_ACT_CAP,ITA,61131,59038,55978,53410,54745,63848,67102,68325,69263,65598,59284
PRIS_ACT_CAP,LTU,6485,6599,6815,7355,8636,9261,9729,9920,9139,8655,8000
PRIS_ACT_CAP,LUX,656,684,724,691,626,656,666,637,681,702,762
PRIS_ACT_CAP,LVA,3522,3765,4243,4409,4745,5136,6117,6561,6780,7055,6548
PRIS_ACT_CAP,MNE,1125,1119,1123,1131,1123,1064,1331,1328,1457,1499,1216
PRIS_ACT_CAP,MKD,,3031,3231,,,,,,,,
PRIS_ACT_CAP,NLD,11251,10874,10601,10850,11934,12721,13473,13969,14368,14364,14610
PRIS_ACT_CAP,NOR,,4164,4192,4056,4103,3869,4052,3866,3564,3340,3477
PRIS_ACT_CAP,POL,72818,74480,72209,72695,79345,80165,85459,82832,82372,85749,84978
PRIS_ACT_CAP,PRT,13021,13587,13917,14373,14198,14535,13875,12955,11839,11287,10807
PRIS_ACT_CAP,ROU,20792,23450,27455,28334,30156,33434,31817,30694,28244,26716,26212
PRIS_ACT_CAP,SRB,10871,10807,10672,10064,10288,10031,10226,11070,11211,10975,9701
PRIS_ACT_CAP,SWE,6114,5713,5658,5691,5807,5723,6296,6669,6846,7286,7073
PRIS_ACT_CAP,SVN,1396,,1308,1399,1522,1360,1377,1273,1351,1365,1318
PRIS_ACT_CAP,SVK,10294,10028,9995,9913,10020,9753,10850,10525,10031,9316,8166
PRIS_ACT_CAP,TUR,264842,233415,200727,178257,159397,145468,136020,128604,120814,116340,
