Region,Sub-region,Country,Indicator,Year,Count,Rate
Europe,Southern Europe,Andorra,Mortality: Total deaths,2010,0,0
Europe,Southern Europe,Andorra,Mortality: Total deaths,2011,0,0
Europe,Southern Europe,Andorra,Mortality: Total deaths,2012,1,2777.777777778
Europe,Southern Europe,Andorra,Mortality: Deaths due to external causes,2010,0,0
Europe,Southern Europe,Andorra,Mortality: Deaths due to external causes,2011,0,0
Europe,Southern Europe,Andorra,Mortality: Deaths due to external causes,2012,0,0
Europe,Southern Europe,Andorra,Mortality: Death by intentional homicide,2010,0,0
Europe,Southern Europe,Andorra,Mortality: Death by intentional homicide,2011,0,0
Europe,Southern Europe,Andorra,Mortality: Death by intentional homicide,2012,0,0
Europe,Southern Europe,Andorra,Mortality: Death by suicide,2010,0,0
Europe,Southern Europe,Andorra,Mortality: Death by suicide,2011,0,0
Europe,Southern Europe,Andorra,Mortality: Death by suicide,2012,1,2777.777777778
Europe,Western Europe,Austria,Mortality: Total deaths,2010,35,397.140587768
Europe,Western Europe,Austria,Mortality: Total deaths,2011,37,413.223140496
Europe,Western Europe,Austria,Mortality: Total deaths,2012,33,374.787052811
Europe,Eastern Europe,Bulgaria,Mortality: Total deaths,2010,46,490.457404841
Europe,Eastern Europe,Bulgaria,Mortality: Total deaths,2011,50,505.816894284
Europe,Eastern Europe,Bulgaria,Mortality: Total deaths,2012,52,547.772042558
Europe,Eastern Europe,Bulgaria,Mortality: Death by suicide,2010,6,63.972704979
Europe,Eastern Europe,Bulgaria,Mortality: Death by suicide,2011,4,40.465351543
Europe,Eastern Europe,Bulgaria,Mortality: Death by suicide,2012,6,63.204466449
Europe,Southern Europe,Croatia,Mortality: Total deaths,2010,12,232.333010649
Europe,Southern Europe,Croatia,Mortality: Total deaths,2011,13,256.714060032
Europe,Southern Europe,Croatia,Mortality: Total deaths,2012,13,274.203754482
Europe,Southern Europe,Croatia,Mortality: Death by suicide,2010,1,19.361084221
Europe,Southern Europe,Croatia,Mortality: Death by suicide,2011,2,39.494470774
Europe,Eastern Europe,Czechia,Mortality: Total deaths,2010,35,159.817351598
Europe,Eastern Europe,Czechia,Mortality: Total deaths,2011,31,133.793698748
Europe,Eastern Europe,Czechia,Mortality: Total deaths,2012,38,167.814873697
Europe,Eastern Europe,Czechia,Mortality: Deaths due to external causes,2010,46,210.045662100
Europe,Eastern Europe,Czechia,Mortality: Deaths due to external causes,2011,40,172.637030643
Europe,Eastern Europe,Czechia,Mortality: Deaths due to external causes,2012,53,234.057586999
Europe,Eastern Europe,Czechia,Mortality: Death by suicide,2010,11,50.228310502
Europe,Eastern Europe,Czechia,Mortality: Death by suicide,2011,9,38.843331895
Europe,Eastern Europe,Czechia,Mortality: Death by suicide,2012,15,66.242713302
Europe,Northern Europe,Denmark,Mortality: Total deaths,2010,11,278.904665314
Europe,Northern Europe,Denmark,Mortality: Total deaths,2011,13,329.364073980
Europe,Northern Europe,Denmark,Mortality: Death by intentional homicide,2010,0,0
Europe,Northern Europe,Denmark,Mortality: Death by intentional homicide,2011,0,0
Europe,Northern Europe,Denmark,Mortality: Death by intentional homicide,2012,0,0
Europe,Northern Europe,Denmark,Mortality: Death by suicide,2010,2,50.709939148
Europe,Northern Europe,Denmark,Mortality: Death by suicide,2011,5,126.678489992
Europe,Northern Europe,Estonia,Mortality: Total deaths,2010,6,176.834659593
Europe,Northern Europe,Estonia,Mortality: Total deaths,2011,9,264.705882353
Europe,Northern Europe,Estonia,Mortality: Total deaths,2012,5,152.160681680
Europe,Northern Europe,Finland,Mortality: Total deaths,2010,6,178.359096314
Europe,Northern Europe,Finland,Mortality: Total deaths,2011,8,244.798041616
Europe,Northern Europe,Finland,Mortality: Total deaths,2012,4,120.992135511
Europe,Northern Europe,Finland,Mortality: Deaths due to external causes,2010,4,118.906064209
Europe,Northern Europe,Finland,Mortality: Deaths due to external causes,2011,6,183.598531212
Europe,Northern Europe,Finland,Mortality: Deaths due to external causes,2012,3,90.744101633
Europe,Northern Europe,Finland,Mortality: Death by suicide,2010,4,118.906064209
Europe,Northern Europe,Finland,Mortality: Death by suicide,2011,6,183.598531212
Europe,Northern Europe,Finland,Mortality: Death by suicide,2012,2,60.496067756
Europe,Eastern Europe,Hungary,Mortality: Total deaths,2010,51,312.346888780
Europe,Eastern Europe,Hungary,Mortality: Total deaths,2011,40,232.423009878
Europe,Eastern Europe,Hungary,Mortality: Total deaths,2012,54,314.337272251
Europe,Eastern Europe,Hungary,Mortality: Death by intentional homicide,2010,1,6.124448800
Europe,Eastern Europe,Hungary,Mortality: Death by intentional homicide,2011,2,11.621150494
Europe,Eastern Europe,Hungary,Mortality: Death by intentional homicide,2012,0,0
Europe,Eastern Europe,Hungary,Mortality: Death by suicide,2010,7,42.871141597
Europe,Eastern Europe,Hungary,Mortality: Death by suicide,2011,9,52.295177223
Europe,Eastern Europe,Hungary,Mortality: Death by suicide,2012,8,46.568484778
Europe,Northern Europe,Ireland,Mortality: Total deaths,2010,11,254.747568319
Europe,Northern Europe,Ireland,Mortality: Total deaths,2011,6,142.314990512
Europe,Northern Europe,Ireland,Mortality: Total deaths,2012,5,116.631677164
Europe,Northern Europe,Ireland,Mortality: Deaths due to external causes,2010,6,138.953219083
Europe,Northern Europe,Ireland,Mortality: Deaths due to external causes,2011,4,94.876660342
