Region,Sub-region,country_name,Indicator,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Africa,Eastern Africa,Burundi,Adults Male,,,,"7,621","7,641","9,194","10,172","9,148","9,608","5,947","7,202","6,993",,,
Africa,Eastern Africa,Burundi,Adults Female,,,,237,241,257,288,329,432,146,363,375,,,
Africa,Eastern Africa,Burundi,Total Adults,,,,"7,858","7,882","9,451","10,460","9,477","10,040","6,093","7,565","7,368",,,
Africa,Eastern Africa,Burundi,Juveniles Male,,,,,,,,,,200,201,153,,,
Africa,Eastern Africa,Burundi,Juveniles Female,,,,,,,,,,76,18,6,,,
Africa,Eastern Africa,Burundi,Total Juveniles,,,,419,461,476,356,346,392,276,219,159,,,
Africa,Eastern Africa,Burundi,Total persons held,,,,"8,277","8,343","9,927","10,816","9,823","10,432","6,369","7,784","7,527",,,
Africa,Eastern Africa,Kenya,Adults Male,,,,,,"27,646","26,630","29,457","29,691","23,980","29,712","29,394","30,478","27,119","29,704"
Africa,Eastern Africa,Kenya,Adults Female,,,,,,"1,203","1,430","1,629","1,625",799,"1,756","1,474","2,257","1,307","1,432"
Africa,Eastern Africa,Kenya,Total Adults,,,,,,"28,849","28,050","31,086","31,316","24,779","31,468","30,868","32,735","28,426","31,136"
Africa,Eastern Africa,Kenya,Juveniles Male,,,,,,680,680,629,664,585,600,595,590,648,576
Africa,Eastern Africa,Kenya,Juveniles Female,,,,,,87,66,47,57,64,49,20,35,16,37
Africa,Eastern Africa,Kenya,Total Juveniles,,,,,,767,746,676,721,649,649,615,625,664,613
Africa,Eastern Africa,Kenya,Total persons held,,,,,,"49,092","48,122","48,153","51,068","44,522","53,430","53,537","54,225","48,500","51,021"
Africa,Eastern Africa,Madagascar,Adults Male,,,,,,,,"17,223","17,275","17,769","18,483","18,956","19,024",,
Africa,Eastern Africa,Madagascar,Adults Female,,,,,,,,692,817,834,793,812,866,,
Africa,Eastern Africa,Madagascar,Total Adults,,,,,,,,"17,915","18,092","18,603","19,276","19,768","19,890",,
Africa,Eastern Africa,Madagascar,Juveniles Male,,,,,,,,421,460,519,496,550,655,,
Africa,Eastern Africa,Madagascar,Juveniles Female,,,,,,,,19,26,28,32,35,50,,
Africa,Eastern Africa,Madagascar,Total Juveniles,,,,,,,,440,486,547,528,585,705,,
Africa,Eastern Africa,Madagascar,Total persons held,,,,,,,,"18,355","18,578","19,150","19,804","20,353","20,595",,
Africa,Eastern Africa,Mauritius,Adults Male,,"2,376","2,350","2,060","2,102","2,027","2,187","2,264","2,485","2,533",,,,,
Africa,Eastern Africa,Mauritius,Adults Female,125,124,141,126,120,117,137,132,156,147,,,,,
Africa,Eastern Africa,Mauritius,Total Adults,"2,511","2,500","2,491","2,186","2,222","2,144","2,324","2,396","2,641","2,680",,,,,
Africa,Eastern Africa,Mauritius,Juveniles Male,,47,36,32,29,33,41,32,40,54,,,,,
Africa,Eastern Africa,Mauritius,Juveniles Female,34,25,20,20,21,23,19,21,25,26,,,,,
Africa,Eastern Africa,Mauritius,Total Juveniles,94,72,56,52,50,56,60,53,65,80,,,,,
Africa,Eastern Africa,Mauritius,Total persons held,"2,605","2,572","2,547","2,238","2,272","2,200","2,384","2,449","2,706","2,760",,,,,
Africa,Eastern Africa,Mozambique,Adults Male,,"13,303","15,143","15,564","15,349","22,429","29,482",,,,,,,,
Africa,Eastern Africa,Mozambique,Adults Female,,485,577,613,470,642,807,,,,,,,,
Africa,Eastern Africa,Mozambique,Total Adults,,"13,788","15,720","16,177","15,819","23,071","30,289",,,,,,,,
Africa,Eastern Africa,Mozambique,Juveniles Male,,"1,543","2,008","1,789","2,015","4,744","4,882",,,,,,,,
Africa,Eastern Africa,Mozambique,Juveniles Female,,28,41,47,24,74,64,,,,,,,,
Africa,Eastern Africa,Mozambique,Total Juveniles,,"1,571","2,049","1,836","2,039","4,818","4,946",,,,,,,,
Africa,Eastern Africa,Mozambique,Total persons held,,"15,359","17,769","18,013","17,858","27,889","35,235",,,,,,,,
Africa,Eastern Africa,Seychelles,Adults Female,7,10,5,10,12,16,,,,,,,,,
Africa,Eastern Africa,Seychelles,Total Adults,156,,137,56,172,297,,,,,,,,,
Africa,Eastern Africa,Seychelles,Juveniles Female,,,,,0,0,,,,,,,,,
Africa,Eastern Africa,Seychelles,Total Juveniles,,,,,0,0,,,,,,,,,
Africa,Eastern Africa,Seychelles,Total persons held,172,147,162,174,172,297,,,,,,,,,
