Region,Sub-region,country_name,Indicator,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Africa,Eastern Africa,Kenya,Total unsentenced,,,,,,"19,906","19,336","16,391","19,031","19,094","21,313","22,054","20,865","19,410","19,272"
Africa,Eastern Africa,Kenya,Total persons held,,,,,,"49,092","48,122","48,153","51,068","44,522","53,430","53,537","54,225","48,500","51,021"
Africa,Eastern Africa,Uganda,Unsentenced Males,,,,,,,,,,,,,"23,695",,
Africa,Eastern Africa,Uganda,Unsentenced Females,,,,,,,,,,,,,970,,
Africa,Eastern Africa,Uganda,Total unsentenced,"11,044","11,158","11,519","11,338","11,242","16,083","17,203","17,367","16,488","18,948","21,792","22,937","24,665","26,236","25,021"
Africa,Eastern Africa,Uganda,Total persons held,"17,952","18,549","19,048","19,225","19,247","28,775","31,173","31,230","32,021","35,212","39,568","42,330","45,527","51,354","48,894"
Africa,Middle Africa,Cameroon,Total unsentenced,,,,,,,"14,485","14,244",,"14,237","15,732","15,853","15,699","16,439","16,970"
Africa,Middle Africa,Cameroon,Total persons held,,,,,,,"23,368","23,766","22,812","22,891","25,314","25,908","28,120","29,341","31,836"
Africa,Northern Africa,Morocco,Total unsentenced,,,,,"25,897","28,970","29,360","30,469","27,470","30,083","31,048","31,822","30,364","31,840","12,390"
Africa,Northern Africa,Morocco,Total persons held,"54,542","59,069","50,933","53,580","54,660","59,212","57,563","64,877","64,833","70,758","72,005","74,941","74,039","78,716","83,102"
Africa,Western Africa,Benin,Total unsentenced,,,,,,,,,,,,,,,"4,857"
Africa,Western Africa,Benin,Total persons held,,,,,,,,,,,,,,,"7,801"
Africa,Western Africa,Guinea-Bissau,Total unsentenced,,,,,,,,,,,,354,,525,331
Africa,Western Africa,Guinea-Bissau,Total persons held,,,,,,,,,,,,526,,865,596
Americas,Caribbean,Dominica,Total unsentenced,,,,,,,,,,,,38,41,58,61
Americas,Caribbean,Dominica,Total persons held,,,,,,,,,,,,187,181,203,190
Americas,Caribbean,Grenada,Total unsentenced,,,,,,,82,87,95,125,121,78,86,88,90
Americas,Caribbean,Grenada,Total persons held,,,,,,,409,438,457,489,480,513,502,457,442
Americas,Caribbean,Jamaica,Total unsentenced,,,,,,,588,,778,889,694,804,807,"1,001","1,247"
Americas,Caribbean,Jamaica,Total persons held,,,,,,,"5,163",,"4,457","4,364","4,112","4,034","3,854","3,799","3,857"
Americas,Caribbean,Puerto Rico,Total unsentenced,,,,,,"1,692","1,537","1,628","1,778","1,965","1,772","1,972","1,402","1,311","1,348"
Americas,Caribbean,Puerto Rico,Total persons held,,,,,,"12,130","11,258","10,894","11,470","12,244","12,246","12,246","11,364","10,727","10,039"
Americas,Central America,Costa Rica,Total unsentenced,,"1,988","1,602","1,666","1,742","2,082","2,678","2,659","3,014","3,264","3,064","2,942","2,533","2,602","3,083"
Americas,Central America,Costa Rica,Total persons held,,"9,056","8,818","7,712","7,500","8,225","9,431","10,541","12,154","13,407","13,647","13,854","13,999","13,338","14,224"
Americas,Central America,El Salvador,Total unsentenced,,,"3,538","4,646","6,579","7,112","7,649","8,439","7,377","7,719","6,010","5,785","8,775",,"12,058"
Americas,Central America,El Salvador,Total persons held,,,"12,525","14,771","17,867","19,814","22,101","24,662","25,367","28,383","26,848","28,334","32,645",,"39,719"
Americas,Central America,Honduras,Total unsentenced,,,,,,,,"5,993","6,294","5,985","6,826","8,195","9,012","9,358","11,325"
Americas,Central America,Honduras,Total persons held,,,,,,,,"11,770","12,006","12,095","13,184","14,882","16,158","17,494","19,335"
Americas,Central America,Mexico,Unsentenced Males,,,,,,,,,,,,,"93,857",,
Americas,Central America,Mexico,Unsentenced Females,,,,,,,,,,,,,"6,441",,
Americas,Central America,Mexico,Total unsentenced,"80,134","80,661","87,844","89,801","88,136","88,035","92,311","91,297","99,730","106,827","77,594","112,524","100,298","65,649","56,283"
Americas,Central America,Mexico,Total persons held,"185,606","196,577","208,072","211,308","213,682",,"236,477","230,266","242,627","235,552","218,373","228,021","221,439","190,175","181,999"
Americas,Central America,Panama,Total unsentenced,,"6,886","7,270","7,153","7,045",,"9,076","7,969","9,077","9,629",,,"10,047","9,452","8,759"
Americas,Central America,Panama,Total persons held,,"12,015","12,262","12,189","12,065","10,217","10,878","12,542","13,207","14,481","14,467","15,690","16,824","16,583","16,155"
Americas,South America,Argentina,Total unsentenced,,,"31,913","29,052","29,972","31,389","32,637","31,142","30,795","31,301","31,961","35,137","37,008","36,374","38,315"
Americas,South America,Argentina,Total persons held,,,"55,423","54,000","52,457","54,537","57,403","59,227","60,789","62,263","64,288","69,060","72,693","76,261","85,283"
Americas,South America,Chile,Total unsentenced,"15,977","14,004","12,829","11,802","10,750","11,445","12,294","11,760","10,600","11,148","11,572","11,978","13,164","13,673","15,226"
Americas,South America,Chile,Total persons held,"38,086","38,064","38,849","42,532","48,090","53,541","58,044","60,148","59,261","56,372","53,050","47,683","46,235","47,305","45,910"
Americas,South America,Colombia,Unsentenced Males,,,,,,,,,,,,,"39,190",,
Americas,South America,Colombia,Unsentenced Females,,,,,,,,,,,,,"3,563",,
Americas,South America,Colombia,Total unsentenced,"26,397","28,811","25,749","19,353","22,183","24,055","24,569","25,916","27,320","34,571","37,052","38,097","42,753","37,839","36,777"
Americas,South America,Colombia,Total persons held,"62,277","68,020","66,829","60,021","63,603","69,979","75,992","84,444","100,451","113,884","120,032","113,623","120,444","118,532","114,750"
Americas,South America,Ecuador,Unsentenced Males,,,,,,,,,,,,,"9,885",,
Americas,South America,Ecuador,Unsentenced Females,,,,,,,,,,,,,682,,
Americas,South America,Ecuador,Total unsentenced,"6,437","6,785",,,,,,,,"11,818","10,106","9,518","10,567","11,508","12,385"
Americas,South America,Ecuador,Total persons held,"9,866","11,358",,,,,,,,"21,305","25,494","24,036","28,379","34,665","37,316"
Americas,South America,Guyana,Total unsentenced,,441,470,417,850,850,956,945,788,690,711,,753,664,699
Americas,South America,Guyana,Total persons held,,"1,280","1,461","1,861","2,171","2,117","2,179","2,160","2,035","2,032","1,998",,"1,998","2,192","2,226"
Americas,South America,Paraguay,Total unsentenced,,,"4,548","4,423","3,919","3,947","4,464","4,010","5,115","5,684","6,675","8,467","9,926","10,355","10,770"
Americas,South America,Paraguay,Total persons held,,,"6,281","6,006","5,827","5,824","6,631","6,197","7,161","8,194","9,233","10,847","12,896","13,345","14,061"
Asia,Central Asia,Kazakhstan,Total unsentenced,,,"8,127","8,306",,"8,047","8,298","8,503","7,637","7,003","6,632","6,601","5,825",,"4,122"
Asia,Central Asia,Kazakhstan,Total persons held,,,"52,203","51,544",,"48,270","50,495","55,140","49,401","45,335","42,052","43,220","42,114",,"36,343"
Asia,Eastern Asia,Macao Special Administrative Region of China,Unsentenced Males,,,,,,,,,,,,,243,,
Asia,Eastern Asia,Macao Special Administrative Region of China,Unsentenced Females,,,,,,,,,,,,,38,,
Asia,Eastern Asia,Macao Special Administrative Region of China,Total unsentenced,,,,,,320,307,227,186,238,256,223,281,248,262
Asia,Eastern Asia,Macao Special Administrative Region of China,Total persons held,,,,,,912,930,929,"1,030","1,112","1,154","1,205","1,280","1,271","1,284"
Asia,Eastern Asia,Mongolia,Total unsentenced,"1,112","1,836","1,848","1,561","1,824","1,886","1,463","1,555","1,458","1,234","1,200","1,144",965,"1,125",889
Asia,Eastern Asia,Mongolia,Total persons held,,"8,124","8,906","6,740","7,923","8,098","6,532","7,421","8,011","8,145","8,068","7,690","5,471","5,692","3,869"
Asia,Eastern Asia,Republic of Korea,Unsentenced Males,,,,,,,,,,,,,"18,026",,
Asia,Eastern Asia,Republic of Korea,Unsentenced Females,,,,,,,,,,,,,"1,543",,
Asia,Eastern Asia,Republic of Korea,Total unsentenced,"21,004","19,169","14,342","15,506","14,169","15,769","15,931","13,700","13,840","15,274","16,687","18,317","19,569","21,196","19,031"
Asia,Eastern Asia,Republic of Korea,Total persons held,"57,336","54,796","47,311","45,651","45,647","47,966","48,228","45,681","45,038","46,708","48,824","51,761","54,667","57,675","55,198"
Asia,South-Eastern Asia,Singapore,Unsentenced Males,,,,,,,,,,,,,"1,200",,
Asia,South-Eastern Asia,Singapore,Unsentenced Females,,,,,,,,,,,,,133,,
Asia,South-Eastern Asia,Singapore,Total unsentenced,841,584,522,546,540,839,857,952,"1,261","1,108","1,266","1,361","1,333","1,247","1,454"
Asia,South-Eastern Asia,Singapore,Total persons held,"17,375","15,623","14,453","12,761","12,410","12,500","13,428","13,604","13,164","12,975","13,334","12,794","12,640","12,454","11,931"
Asia,Western Asia,Armenia,Total unsentenced,,845,768,761,833,617,861,"1,287","1,437","1,228","1,035","1,113","1,114","1,200","1,297"
Asia,Western Asia,Armenia,Total persons held,,"2,856","2,710","2,873","3,083","3,539","3,965","4,313","5,142","4,756","3,923","3,880","3,873","3,833","3,536"
Asia,Western Asia,Azerbaijan,Total unsentenced,,"2,153","2,226","2,314","2,461","2,254","2,665","2,780","2,930","2,934","3,531","3,790",,"4,514","3,512"
Asia,Western Asia,Azerbaijan,Total persons held,,"18,504","17,845","18,656","19,559","20,986","20,651","21,971","20,546","20,782","20,669","22,526",,"23,311","23,319"
Asia,Western Asia,Cyprus,Total unsentenced,56,83,84,99,69,118,105,139,135,156,117,101,110,135,151
Asia,Western Asia,Cyprus,Total persons held,359,454,502,578,547,652,578,636,622,678,553,532,547,586,592
Asia,Western Asia,Lebanon,Total unsentenced,,,"6,369","5,663",,,"1,251","1,350","1,450","1,853","2,368","2,385","2,556","2,666","2,691"
Asia,Western Asia,Lebanon,Total persons held,,,"6,921","6,101",,,"4,901","5,060","5,169","5,060","5,393","6,365","6,325","6,217","6,458"
Asia,Western Asia,Saudi Arabia,Total unsentenced,,,,,,,,,,,,,,,"32,878"
