"country_name","country_code","year","total","adults_male","adults_female","juvenile_male","juvenile_female","tot_juvenile","tot_male","tot_female"
"Cyprus","CYP",2003,355,271,11,0,0,0,271,11
"Cyprus","CYP",2004,546,318,20,0,0,33,318,20
"Cyprus","CYP",2005,536,445,16,41,0,41,486,16
"Cyprus","CYP",2006,599,512,19,45,2,47,557,21
"Cyprus","CYP",2007,646,504,21,20,0,20,524,21
"Cyprus","CYP",2008,646,582,42,26,2,28,608,44
"Cyprus","CYP",2009,670,519,31,27,1,28,546,32
"Cyprus","CYP",2010,637,577,45,14,0,14,591,45
"Cyprus","CYP",2011,634,571,35,14,2,16,585,37
"Cyprus","CYP",2012,694,609,43,24,2,26,633,45
"Cyprus","CYP",2013,592,491,25,32,5,37,523,30
"Cyprus","CYP",2014,537,479,30,23,0,23,502,30
"Cyprus","CYP",2015,596,492,31,23,1,24,515,32
"Cyprus","CYP",2016,668,530,41,15,0,15,545,41
"Cyprus","CYP",2017,625,538,33,20,1,21,558,34
"Cyprus","CYP",2018,648,0,0,0,0,0,0,0
"Bulgaria","BGR",2003,9282,0,294,0,3,138,0,297
"Bulgaria","BGR",2004,9931,10370,349,149,3,152,10519,352
"Bulgaria","BGR",2005,10722,10918,387,128,3,131,11046,390
"Bulgaria","BGR",2006,11308,10583,371,97,7,104,10680,378
"Bulgaria","BGR",2007,10961,9844,333,89,5,94,9933,338
"Bulgaria","BGR",2008,10182,9043,290,73,2,75,9116,292
"Bulgaria","BGR",2009,10093,8708,240,57,1,58,8765,241
"Bulgaria","BGR",2010,10448,9015,291,73,0,73,9088,291
"Bulgaria","BGR",2011,9885,9507,289,89,0,89,9596,289
"Bulgaria","BGR",2012,9493,9111,307,73,2,75,9184,309
"Bulgaria","BGR",2013,8834,8493,263,77,1,78,8570,264
"Bulgaria","BGR",2014,7870,7549,258,62,1,63,7611,259
"Bulgaria","BGR",2015,7408,7117,245,45,1,46,7162,246
"Bulgaria","BGR",2016,7345,7090,228,27,0,27,7117,228
"Bulgaria","BGR",2017,6988,6740,218,29,1,30,6769,219
"Bulgaria","BGR",2018,6651,0,0,0,0,0,0,0
"Hungary","HUN",2003,16507,0,989,0,44,0,0,1033
"Hungary","HUN",2004,16543,15119,979,435,13,448,15554,992
"Hungary","HUN",2005,15720,14292,980,465,18,483,14757,998
"Hungary","HUN",2006,14821,13412,942,448,20,468,13860,962
"Hungary","HUN",2007,14331,13010,899,422,22,444,13432,921
"Hungary","HUN",2008,14702,13289,923,507,24,531,13796,947
"Hungary","HUN",2009,15360,13931,989,495,17,512,14426,1006
"Hungary","HUN",2010,16328,14758,1009,540,21,561,15298,1030
"Hungary","HUN",2011,17210,15470,1216,501,23,524,15971,1239
"Hungary","HUN",2012,17179,15440,1225,498,16,514,15938,1241
"Hungary","HUN",2013,17841,16027,1336,458,20,478,16485,1356
"Hungary","HUN",2014,17890,16134,1332,407,17,424,16541,1349
