country_name;country_code;year;total
Cyprus;CYP;2003;355
Cyprus;CYP;2004;546
Cyprus;CYP;2005;536
Cyprus;CYP;2006;599
Cyprus;CYP;2007;646
Cyprus;CYP;2008;646
Cyprus;CYP;2009;670
Cyprus;CYP;2010;637
Cyprus;CYP;2011;634
Cyprus;CYP;2012;694
Cyprus;CYP;2013;592
Cyprus;CYP;2014;537
Cyprus;CYP;2015;596
Cyprus;CYP;2016;668
Cyprus;CYP;2017;625
Cyprus;CYP;2018;648
Turkey;TUR;2003;63796
Turkey;TUR;2004;58016
Turkey;TUR;2005;55966
Turkey;TUR;2006;70524
Turkey;TUR;2007;90732
Turkey;TUR;2008;103435
Turkey;TUR;2009;115920
Turkey;TUR;2010;120194
Turkey;TUR;2011;128253
Turkey;TUR;2012;136638
Turkey;TUR;2013;144098
Turkey;TUR;2014;158690
Turkey;TUR;2015;177262
Turkey;TUR;2016;200727
Turkey;TUR;2017;232340
Turkey;TUR;2018;264842
Bulgaria;BGR;2003;9282
Bulgaria;BGR;2004;9931
Bulgaria;BGR;2005;10722
Bulgaria;BGR;2006;11308
Bulgaria;BGR;2007;10961
Bulgaria;BGR;2008;10182
Bulgaria;BGR;2009;10093
Bulgaria;BGR;2010;10448
Bulgaria;BGR;2011;9885
Bulgaria;BGR;2012;9493
Bulgaria;BGR;2013;8834
Bulgaria;BGR;2014;7870
Bulgaria;BGR;2015;7408
Bulgaria;BGR;2016;7345
Bulgaria;BGR;2017;6988
Bulgaria;BGR;2018;6651
Hungary;HUN;2003;16507
Hungary;HUN;2004;16543
Hungary;HUN;2005;15720
Hungary;HUN;2006;14821
Hungary;HUN;2007;14331
Hungary;HUN;2008;14702
Hungary;HUN;2009;15360
Hungary;HUN;2010;16328
Hungary;HUN;2011;17210
Hungary;HUN;2012;17179
Hungary;HUN;2013;17841
Hungary;HUN;2014;17890
Hungary;HUN;2015;17449
Hungary;HUN;2016;17658
Hungary;HUN;2017;17343
Hungary;HUN;2018;16303
Poland;POL;2003;79281
Poland;POL;2004;80368
Poland;POL;2005;82955
Poland;POL;2006;88647
Poland;POL;2007;87776
Poland;POL;2008;83152
Poland;POL;2009;84003
Poland;POL;2010;80728
Poland;POL;2011;81382
Poland;POL;2012;84156
Poland;POL;2013;78994
Poland;POL;2014;77371
Poland;POL;2015;70836
Poland;POL;2016;71528
Poland;POL;2017;73822
Poland;POL;2018;72204
Romania;ROU;2003;42770
Romania;ROU;2004;39044
Romania;ROU;2005;36689
Romania;ROU;2006;34038
Romania;ROU;2007;29390
Romania;ROU;2008;26212
Romania;ROU;2009;26716
Romania;ROU;2010;28244
Romania;ROU;2011;30694
Romania;ROU;2012;31817
Romania;ROU;2013;33434
Romania;ROU;2014;30156
Romania;ROU;2015;28334
Romania;ROU;2016;27455
Romania;ROU;2017;23450
Romania;ROU;2018;20792
Slovakia;SVK;2003;5983
Slovakia;SVK;2004;6331
Slovakia;SVK;2005;6051
Slovakia;SVK;2006;6006
Slovakia;SVK;2007;6137
Slovakia;SVK;2008;6613
Slovakia;SVK;2009;7695
Slovakia;SVK;2010;8567
Slovakia;SVK;2011;9118
Slovakia;SVK;2012;9542
Slovakia;SVK;2013;8537
Slovakia;SVK;2014;8701
Slovakia;SVK;2015;8567
Slovakia;SVK;2016;8557
Slovakia;SVK;2017;8512
Slovakia;SVK;2018;8715
Denmark;DNK;2003;3522
Denmark;DNK;2004;3757
Denmark;DNK;2005;4132
Denmark;DNK;2006;3759
Denmark;DNK;2007;3624
Denmark;DNK;2008;3451
Denmark;DNK;2009;3721
Denmark;DNK;2010;3944
Denmark;DNK;2011;3947
Denmark;DNK;2012;3829
Denmark;DNK;2013;4091
Denmark;DNK;2014;3583
Denmark;DNK;2015;3203
Denmark;DNK;2016;3408
Denmark;DNK;2017;3418
Denmark;DNK;2018;3635
Estonia;EST;2003;4529
Estonia;EST;2004;4525
Estonia;EST;2005;4420
Estonia;EST;2006;4310
Estonia;EST;2007;3456
Estonia;EST;2008;3656
Estonia;EST;2009;3555
Estonia;EST;2010;3393
Estonia;EST;2011;3400
Estonia;EST;2012;3286
Estonia;EST;2013;3123
Estonia;EST;2014;3034
Estonia;EST;2015;2823
Estonia;EST;2016;2864
Estonia;EST;2017;2723
Estonia;EST;2018;2584
Finland;FIN;2003;3641
Finland;FIN;2004;3703
Finland;FIN;2005;3867
Finland;FIN;2006;3851
Finland;FIN;2007;3624
Finland;FIN;2008;3531
Finland;FIN;2009;3589
Finland;FIN;2010;3364
Finland;FIN;2011;3268
Finland;FIN;2012;3306
Finland;FIN;2013;3295
Finland;FIN;2014;3148
Finland;FIN;2015;3135
Finland;FIN;2016;3156
Finland;FIN;2017;3082
Finland;FIN;2018;2910
Iceland;ISL;2003;109
Iceland;ISL;2004;112
Iceland;ISL;2005;108
Iceland;ISL;2006;115
Iceland;ISL;2007;124
Iceland;ISL;2008;120
Iceland;ISL;2009;132
Iceland;ISL;2010;154
Iceland;ISL;2011;143
Iceland;ISL;2012;141
Iceland;ISL;2013;147
Iceland;ISL;2014;142
Iceland;ISL;2015;139
Iceland;ISL;2016;116
Iceland;ISL;2017;150
Iceland;ISL;2018;147
Ireland;IRL;2003;3146
Ireland;IRL;2004;2660
Ireland;IRL;2005;2637
Ireland;IRL;2006;2725
Ireland;IRL;2007;2696
Ireland;IRL;2008;10928
Ireland;IRL;2009;12339
Ireland;IRL;2010;13758
Ireland;IRL;2011;13952
Ireland;IRL;2012;13860
Ireland;IRL;2013;13055
Ireland;IRL;2014;13408
Ireland;IRL;2015;NaN
Ireland;IRL;2016;NaN
Ireland;IRL;2017;NaN
Ireland;IRL;2018;NaN
Latvia;LVA;2003;4795
Latvia;LVA;2004;4808
Latvia;LVA;2005;4608
Latvia;LVA;2006;4643
Latvia;LVA;2007;4701
Latvia;LVA;2008;4872
Latvia;LVA;2009;4959
Latvia;LVA;2010;4701
Latvia;LVA;2011;4488
Latvia;LVA;2012;4171
Latvia;LVA;2013;3603
Latvia;LVA;2014;3253
Latvia;LVA;2015;3000
Latvia;LVA;2016;2966
Latvia;LVA;2017;2714
Latvia;LVA;2018;2541
Lithuania;LTU;2003;7869
Lithuania;LTU;2004;7941
Lithuania;LTU;2005;7958
Lithuania;LTU;2006;7908
Lithuania;LTU;2007;7674
Lithuania;LTU;2008;7800
Lithuania;LTU;2009;8467
Lithuania;LTU;2010;8981
Lithuania;LTU;2011;9790
Lithuania;LTU;2012;9617
Lithuania;LTU;2013;9172
Lithuania;LTU;2014;8552
Lithuania;LTU;2015;7270
Lithuania;LTU;2016;6757
Lithuania;LTU;2017;6548
Lithuania;LTU;2018;6433
Norway;NOR;2003;NaN
Norway;NOR;2004;NaN
Norway;NOR;2005;NaN
Norway;NOR;2006;NaN
Norway;NOR;2007;NaN
Norway;NOR;2008;NaN
Norway;NOR;2009;NaN
Norway;NOR;2010;NaN
Norway;NOR;2011;NaN
Norway;NOR;2012;NaN
Norway;NOR;2013;NaN
Norway;NOR;2014;NaN
Norway;NOR;2015;NaN
Norway;NOR;2016;NaN
Norway;NOR;2017;NaN
Norway;NOR;2018;NaN
Sweden;SWE;2003;5320
Sweden;SWE;2004;5722
Sweden;SWE;2005;5508
Sweden;SWE;2006;5533
Sweden;SWE;2007;5275
Sweden;SWE;2008;5399
Sweden;SWE;2009;5470
Sweden;SWE;2010;5358
Sweden;SWE;2011;5148
Sweden;SWE;2012;4852
Sweden;SWE;2013;4377
Sweden;SWE;2014;4319
Sweden;SWE;2015;4292
Sweden;SWE;2016;4231
Sweden;SWE;2017;4148
Sweden;SWE;2018;4393
United Kingdom (England and Wales);GBR;2003;80263
United Kingdom (England and Wales);GBR;2004;81264
United Kingdom (England and Wales);GBR;2005;83307
United Kingdom (England and Wales);GBR;2006;85259
United Kingdom (England and Wales);GBR;2007;87325
United Kingdom (England and Wales);GBR;2008;91044
United Kingdom (England and Wales);GBR;2009;91325
United Kingdom (England and Wales);GBR;2010;93323
United Kingdom (England and Wales);GBR;2011;94258
United Kingdom (England and Wales);GBR;2012;94625
United Kingdom (England and Wales);GBR;2013;91574
United Kingdom (England and Wales);GBR;2014;93118
United Kingdom (England and Wales);GBR;2015;93635
United Kingdom (England and Wales);GBR;2016;92590
United Kingdom (England and Wales);GBR;2017;93288
United Kingdom (England and Wales);GBR;2018;91099
Albania;ALB;2003;NaN
Albania;ALB;2004;NaN
Albania;ALB;2005;NaN
Albania;ALB;2006;NaN
Albania;ALB;2007;NaN
Albania;ALB;2008;NaN
Albania;ALB;2009;4695
Albania;ALB;2010;4605
Albania;ALB;2011;4607
Albania;ALB;2012;4890
Albania;ALB;2013;5385
Albania;ALB;2014;5535
Albania;ALB;2015;5882
Albania;ALB;2016;6031
Albania;ALB;2017;5674
Albania;ALB;2018;5316
Bosnia and Herzegovina;BIH;2003;NaN
Bosnia and Herzegovina;BIH;2004;NaN
Bosnia and Herzegovina;BIH;2005;NaN
Bosnia and Herzegovina;BIH;2006;NaN
Bosnia and Herzegovina;BIH;2007;NaN
Bosnia and Herzegovina;BIH;2008;NaN
Bosnia and Herzegovina;BIH;2009;NaN
Bosnia and Herzegovina;BIH;2010;2221
Bosnia and Herzegovina;BIH;2011;2231
Bosnia and Herzegovina;BIH;2012;NaN
Bosnia and Herzegovina;BIH;2013;2521
Bosnia and Herzegovina;BIH;2014;2537
Bosnia and Herzegovina;BIH;2015;2298
Bosnia and Herzegovina;BIH;2016;2214
Bosnia and Herzegovina;BIH;2017;2361
Bosnia and Herzegovina;BIH;2018;3111
Croatia;HRV;2003;1791
Croatia;HRV;2004;2032
Croatia;HRV;2005;2293
Croatia;HRV;2006;2594
Croatia;HRV;2007;2909
Croatia;HRV;2008;3294
Croatia;HRV;2009;3592
Croatia;HRV;2010;3894
Croatia;HRV;2011;4089
